POprc559_1:1	okay	RE(RE)	okay
POprc559_2:72	our	PP$(PP$)	we
POprc559_2:73	interests	NNS(NNS)	interest
POprc559_2:74	sometimes	RB(RB)	sometimes
POprc559_2:75	x	UNI(UNI)	
POprc559_2:76	_0	PA(PA)	
POprc559_2:77	and	CC(CC)	and
POprc559_2:78	it	PP(PP)	it
POprc559_2:79	's	VBS(VBS)	be
POprc559_2:80	wrong	JJ(JJ)	wrong
POprc559_2:81	_1	PA(PA)	
POprc559_2:82	we	PP(PP)	we
POprc559_2:83	should	MD(MD)	shall
POprc559_2:84	_0	PA(PA)	
POprc559_2:85	really	RB(RB)	really
POprc559_2:86	develop	VV(VV)	develop
POprc559_2:87	an	DT(DT)	a
POprc559_2:88	base	JJ(JJ)	base
POprc559_2:89	dialogue	NN(NN)	dialogue
POprc559_2:90	much	RB(RB)	much
POprc559_2:91	more	RBR(RBR)	more
POprc559_2:92	broader	JJR(JJR)	broad
POprc559_2:93	with	IN(IN)	with
POprc559_2:94	norway	NP(NP)	norway
POprc559_2:95	_0	PA(PA)	
POprc559_2:96	and	CC(CC)	and
POprc559_2:97	for	IN(IN)	for
POprc559_2:98	se-	XX(XX)	
POprc559_2:99	for	IN(IN)	for
POprc559_2:100	for	IN(IN)	for
POprc559_2:101	er	UH(UH)	er
POprc559_2:102	and	CC(CC)	and
POprc559_2:103	we	PP(PP)	we
POprc559_2:104	debated	VVD(VVD)	debate
POprc559_2:105	and	CC(CC)	and
POprc559_2:106	looked	VVD(VVD)	look
POprc559_2:107	upon	IN(IN)	upon
POprc559_2:108	the	DT(DT)	the
POprc559_2:109	issues	NNS(NNS)	issue
POprc559_2:110	of	IN(IN)	of
POprc559_2:111	very	RB(RB)	very
POprc559_2:112	critical	JJ(JJ)	critical
POprc559_2:113	important	JJ(JJ)	important
POprc559_2:114	for	IN(IN)	for
POprc559_2:115	the	DT(DT)	the
POprc559_2:116	union	NP(NP)	union
POprc559_2:117	_0	PA(PA)	
POprc559_2:118	first	RB(RB)	first
POprc559_2:119	of	IN(IN)	of
POprc559_2:120	all	DT(DT)	all
POprc559_2:121	security	NN(NN)	security
POprc559_2:122	of	IN(IN)	of
POprc559_2:123	supply	NN(NN)	supply
POprc559_2:124	and	CC(CC)	and
POprc559_2:125	getting	VVG(VVG)	get
POprc559_2:126	more	JJR(JJR)	more
POprc559_2:127	gas	NN(NN)	gas
POprc559_2:128	_0	PA(PA)	
POprc559_2:129	oil	NN(NN)	oil
POprc559_2:130	_0	PA(PA)	
POprc559_2:131	and	CC(CC)	and
POprc559_2:132	also	RB(RB)	also
POprc559_2:133	new	JJ(JJ)	new
POprc559_2:134	_0	PA(PA)	
POprc559_2:135	infrastructure	NN(NN)	infrastructure
POprc559_2:136	in	IN(IN)	in
POprc559_2:137	place	NN(NN)	place
POprc559_2:138	_0	PA(PA)	
POprc559_2:139	in	IN(IN)	in
POprc559_2:140	this	DT(DT)	this
POprc559_2:141	respect	NN(NN)	respect
POprc559_2:142	i	PP(PP)	i
POprc559_2:143	think	VVP(VVP)	think
POprc559_2:144	it	PP(PP)	it
POprc559_2:145	is	VBZ(VBZ)	be
POprc559_2:146	very	RB(RB)	very
POprc559_2:147	important	JJ(JJ)	important
POprc559_2:148	news	NN(NN)	news
POprc559_2:149	_0	PA(PA)	
POprc559_2:150	that	IN(IN)	that
POprc559_2:151	norway	NP(NP)	norway
POprc559_2:152	_0	PA(PA)	
POprc559_2:153	will	MD(MD)	will
POprc559_2:154	increase	VV(VV)	increase
POprc559_2:155	its	PP$(PP$)	it
POprc559_2:156	production	NN(NN)	production
POprc559_2:157	er	UH(UH)	er
POprc559_2:158	exports	NNS(NNS)	export
POprc559_2:159	of	IN(IN)	of
POprc559_2:160	natural	NN(NN)	natural
POprc559_2:161	gas	NN(NN)	gas
POprc559_2:162	_0	PA(PA)	
POprc559_2:163	er	UH(UH)	er
POprc559_2:164	by	IN(IN)	by
POprc559_2:165	f-	XX(XX)	
POprc559_2:166	to	IN(IN)	to
POprc559_2:167	the	DT(DT)	the
POprc559_2:168	one	CD(CD)	one
POprc559_2:169	hundred	CD(CD)	hundred
POprc559_2:170	thirty	CD(CD)	thirty
POprc559_2:171	_0	PA(PA)	
POprc559_2:172	billion	CD(CD)	billion
POprc559_2:173	cubic	JJ(JJ)	cubic
POprc559_2:174	meters	NNS(NNS)	meter
POprc559_2:175	_0	PA(PA)	
POprc559_2:176	er	UH(UH)	er
POprc559_2:177	two	CD(CD)	two
POprc559_2:178	thousand	CD(CD)	thousand
POprc559_2:179	ten	CD(CD)	ten
POprc559_2:180	_0	PA(PA)	
POprc559_2:181	er	UH(UH)	er
POprc559_2:182	from	IN(IN)	from
POprc559_2:183	eighty-five	CD(CD)	eighty-five
POprc559_2:184	today	RB(RB)	today
POprc559_2:185	_0	PA(PA)	
POprc559_2:186	and	CC(CC)	and
POprc559_2:187	there	EX(EX)	there
POprc559_2:188	is	VBZ(VBZ)	be
POprc559_2:189	potential	NN(NN)	potential
POprc559_2:190	to	TO(TO)	to
POprc559_2:191	increase	VV(VV)	increase
POprc559_2:192	even	RB(RB)	even
POprc559_2:193	further	RBR(RBR)	far
POprc559_2:194	so	DM(DM)	so
POprc559_2:195	it	PP(PP)	it
POprc559_2:196	means	VVZ(VVZ)	mean
POprc559_2:197	that	IN(IN)	that
POprc559_2:198	european	JJ(JJ)	european
POprc559_2:199	market	NN(NN)	market
POprc559_2:200	will	MD(MD)	will
POprc559_2:201	be	VB(VB)	be
POprc559_2:202	well	RB(RB)	well
POprc559_2:203	supplied	VVN(VVN)	supply
POprc559_2:204	with	IN(IN)	with
POprc559_2:205	natural	NN(NN)	natural
POprc559_2:206	gas	NN(NN)	gas
POprc559_2:207	and	CC(CC)	and
POprc559_2:208	it	PP(PP)	it
POprc559_2:209	is	VBZ(VBZ)	be
POprc559_2:210	very	RB(RB)	very
POprc559_2:211	important	JJ(JJ)	important
POprc559_2:212	news	NN(NN)	news
POprc559_2:213	the	DT(DT)	the
POprc559_2:214	second	JJ(JJ)	second
POprc559_2:215	_0	PA(PA)	
POprc559_2:216	it	PP(PP)	it
POprc559_2:217	's	VBS(VBS)	be
POprc559_2:218	about	IN(IN)	about
POprc559_2:219	new	JJ(JJ)	new
POprc559_2:220	infrastructure	NN(NN)	infrastructure
POprc559_2:221	i	PP(PP)	i
POprc559_2:222	think	VVP(VVP)	think
POprc559_2:223	it	PP(PP)	it
POprc559_2:224	's	VBS(VBS)	be
POprc559_2:225	very	RB(RB)	very
POprc559_2:226	good	JJ(JJ)	good
POprc559_2:227	ne-	XX(XX)	
POprc559_2:228	er	UH(UH)	er
POprc559_2:229	er	UH(UH)	er
POprc559_2:230	news	NN(NN)	news
POprc559_2:231	about	IN(IN)	about
POprc559_2:232	_0	PA(PA)	
POprc559_2:233	new	JJ(JJ)	new
POprc559_2:234	infrastructure	NN(NN)	infrastructure
POprc559_2:235	being	VBG(VBG)	be
POprc559_2:236	in	IN(IN)	in
POprc559_2:237	place	NN(NN)	place
POprc559_2:238	and	CC(CC)	and
POprc559_2:239	bringing	VVG(VVG)	bring
POprc559_2:240	new	JJ(JJ)	new
POprc559_2:241	gas	NN(NN)	gas
POprc559_2:242	supply	NN(NN)	supply
POprc559_2:243	to	IN(IN)	to
POprc559_2:244	euro-	XX(XX)	
POprc559_2:245	eur-	XX(XX)	
POprc559_2:246	united	NP(NP)	united
POprc559_2:247	kingdom	NP(NP)	kingdom
POprc559_2:248	_0	PA(PA)	
POprc559_2:249	er	UH(UH)	er
POprc559_2:250	and	CC(CC)	and
POprc559_2:251	i	PP(PP)	i
POprc559_2:252	'm	VBP(VBP)	be
POprc559_2:253	very	RB(RB)	very
POprc559_2:254	glad	JJ(JJ)	glad
POprc559_2:255	about	IN(IN)	about
POprc559_2:256	it	PP(PP)	it
POprc559_2:257	and	CC(CC)	and
POprc559_2:258	i	PP(PP)	i
POprc559_2:259	know	VVP(VVP)	know
POprc559_2:260	that	IN(IN)	that
POprc559_2:261	there	EX(EX)	there
POprc559_2:262	is	VBZ(VBZ)	be
POprc559_2:263	new	JJ(JJ)	new
POprc559_2:264	some	DT(DT)	some
POprc559_2:265	projects	NNS(NNS)	project
POprc559_2:266	in	IN(IN)	in
POprc559_2:267	the	DT(DT)	the
POprc559_2:268	pipeline	NN(NN)	pipeline
POprc559_2:269	that	PRE(PRE)	that
POprc559_2:270	also	RB(RB)	also
POprc559_2:271	could	MD(MD)	can
POprc559_2:272	be	VB(VB)	be
POprc559_2:273	explored	VVN(VVN)	explore
POprc559_2:274	and	CC(CC)	and
POprc559_2:275	developed	VVN(VVN)	develop
POprc559_2:276	_0	PA(PA)	
POprc559_2:277	so	DM(DM)	so
POprc559_2:278	for	IN(IN)	for
POprc559_2:279	security	NN(NN)	security
POprc559_2:280	of	IN(IN)	of
POprc559_2:281	supply	NN(NN)	supply
POprc559_2:282	for	IN(IN)	for
POprc559_2:283	planning	VVG(NN)	plan/planning
POprc559_2:284	our	PP$(PP$)	we
POprc559_2:285	security	NN(NN)	security
POprc559_2:286	of	IN(IN)	of
POprc559_2:287	supply	NN(NN)	supply
POprc559_2:288	to	TO(TO)	to
POprc559_2:289	assuring	VVG(VVG)/VVG(VV)	assure
POprc559_2:290	also	RB(RB)	also
POprc559_2:291	that	IN(IN)	that
POprc559_2:292	there	EX(EX)	there
POprc559_2:293	's	VBS(VBS)	be
POprc559_2:294	norwegian	JJ(JJ)	norwegian
POprc559_2:295	gas	NN(NN)	gas
POprc559_2:296	supply	NN(NN)	supply
POprc559_2:297	and	CC(CC)	and
POprc559_2:298	also	RB(RB)	also
POprc559_2:299	oil	NN(NN)	oil
POprc559_2:300	supply	NN(NN)	supply
POprc559_2:301	that	PRE(PRE)	that
POprc559_2:302	we	PP(PP)	we
POprc559_2:303	usually	RB(RB)	usually
POprc559_2:304	somehow	RB(RB)	somehow
POprc559_2:305	not	RB(RB)	not
POprc559_2:306	take	VVP(VVP)	take
POprc559_2:307	such	PDT(PDT)	such
POprc559_2:308	a	DT(DT)	a
POprc559_2:309	interest	NN(NN)	interest
POprc559_2:310	er	UH(UH)	er
POprc559_2:311	in	IN(IN)	in
POprc559_2:312	it	PP(PP)	it
POprc559_2:313	's	VBS(VBS)	be
POprc559_2:314	er	UH(UH)	er
POprc559_2:315	crucial	JJ(JJ)	crucial
POprc559_2:316	and	CC(CC)	and
POprc559_2:317	this	DT(DT)	this
POprc559_2:318	is	VBZ(VBZ)	be
POprc559_2:319	one	CD(CD)	one
POprc559_2:320	part	NN(NN)	part
POprc559_2:321	of	IN(IN)	of
POprc559_2:322	the	DT(DT)	the
POprc559_2:323	dialogue	NN(NN)	dialogue
POprc559_2:324	how	WRB(WRB)	how
POprc559_2:325	to	TO(TO)	to
POprc559_2:326	_0	PA(PA)	
POprc559_2:327	f-	XX(XX)	
POprc559_2:328	keep	VV(VV)	keep
POprc559_2:329	this	DT(DT)	this
POprc559_2:330	supply	NN(NN)	supply
POprc559_2:331	going	VVG(VVG)	go
POprc559_2:332	on	RP(RP)	on
POprc559_2:333	_0	PA(PA)	
POprc559_2:334	hh	BR(BR)	
POprc559_2:335	another	DT(DT)	another
POprc559_2:336	point	NN(NN)	point
POprc559_2:337	that	PRE(PRE)	that
POprc559_2:338	we	PP(PP)	we
POprc559_2:339	also	RB(RB)	also
POprc559_2:340	have	VHP(VHP)	have
POprc559_2:341	is	VBZ(VBZ)	be
POprc559_2:342	the	DT(DT)	the
POprc559_2:343	debate	NN(NN)	debate
POprc559_2:344	_0	PA(PA)	
POprc559_2:345	is	VBZ(VBZ)	be
POprc559_2:346	the	DT(DT)	the
POprc559_2:347	issues	NNS(NNS)	issue
POprc559_2:348	related	JJ(JJ)	related
POprc559_2:349	climate	NN(NN)	climate
POprc559_2:350	change	NN(NN)	change
POprc559_2:351	norway	NP(NP)	norway
POprc559_2:352	and	CC(CC)	and
POprc559_2:353	the	DT(DT)	the
POprc559_2:354	european	NP(NP)	european
POprc559_2:355	union	NP(NP)	union
POprc559_2:356	share	VVP(VVP)	share
POprc559_2:357	the	DT(DT)	the
POprc559_2:358	same	JJ(JJ)	same
POprc559_2:359	ambition	NN(NN)	ambition
POprc559_2:360	about	IN(IN)	about
POprc559_2:361	climate	NN(NN)	climate
POprc559_2:362	change	NN(NN)	change
POprc559_2:363	_0	PA(PA)	
POprc559_2:364	definitely	RB(RB)	definitely
POprc559_2:365	natural	JJ(JJ)	natural
POprc559_2:366	use	NN(NN)	use
POprc559_2:367	of	IN(IN)	of
POprc559_2:368	natural	NN(NN)	natural
POprc559_2:369	gas	NN(NN)	gas
POprc559_2:370	also	RB(RB)	also
POprc559_2:371	helps	VVZ(VVZ)	help
POprc559_2:372	_0	PA(PA)	
POprc559_2:373	er	UH(UH)	er
POprc559_2:374	to	TO(TO)	to
POprc559_2:375	find	VV(VV)	find
POprc559_2:376	the	DT(DT)	the
POprc559_2:377	_0	PA(PA)	
POprc559_2:378	ways	NNS(NNS)	way
POprc559_2:379	how	WRB(WRB)	how
POprc559_2:380	to	TO(TO)	to
POprc559_2:381	emit	VV(VV)	emit
POprc559_2:382	less	JJR(JJR)	less
POprc559_2:383	s_co	NN(NN)	s_co
POprc559_2:384	two	CD(CD)	two
POprc559_2:385	_0	PA(PA)	
POprc559_2:386	but	CC(CC)	but
POprc559_2:387	important	JJ(JJ)	important
POprc559_2:388	p_legislive	PVC(JJ)	
POprc559_2:389	inf-	XX(XX)	
POprc559_2:390	in-	XX(XX)	
POprc559_2:391	initiatives	NNS(NNS)	initiative
POprc559_2:392	that	PRE(PRE)	that
POprc559_2:393	the	DT(DT)	the
POprc559_2:394	s_eu	NP(NP)	s_eu
POprc559_2:395	are	VBP(VBP)	be
POprc559_2:396	trying	VVG(VVG)	try
POprc559_2:397	_0	PA(PA)	
POprc559_2:398	to	TO(TO)	to
POprc559_2:399	achieve	VV(VV)	achieve
POprc559_2:400	like	DM(DM)	like
POprc559_2:401	proposal	NN(NN)	proposal
POprc559_2:402	for	IN(IN)	for
POprc559_2:403	heating	VVG(NN)	heat/heating
POprc559_2:404	and	CC(CC)	and
POprc559_2:405	cooling	VVG(NN)	cool/cooling
POprc559_2:406	from	IN(IN)	from
POprc559_2:407	p_renewables	PVC(NNS)	
POprc559_2:408	_0	PA(PA)	
POprc559_2:409	er	UH(UH)	er
POprc559_2:410	renewable	JJ(JJ)	renewable
POprc559_2:411	road	NN(NN)	road
POprc559_2:412	map	NN(NN)	map
POprc559_2:413	and	CC(CC)	and
POprc559_2:414	also	RB(RB)	also
POprc559_2:415	issues	NNS(NNS)	issue
POprc559_2:416	related	JJ(JJ)	related
POprc559_2:417	to	IN(IN)	to
POprc559_2:418	use	NN(NN)	use
POprc559_2:419	of	IN(IN)	of
POprc559_2:420	the	DT(DT)	the
POprc559_2:421	bio-	XX(XX)	
POprc559_2:422	x	UNI(UNI)	
POprc559_2:423	are	VBP(VBP)	be
POprc559_2:424	extremely	RB(RB)	extremely
POprc559_2:425	important	JJ(JJ)	important
POprc559_2:426	to	TO(TO)	to
POprc559_2:427	how	WRB(WRB)	how
POprc559_2:428	in	IN(IN)	in
POprc559_2:429	er	UH(UH)	er
POprc559_2:430	_0	PA(PA)	
POprc559_2:431	adopt	VV(VV)	adopt
POprc559_2:432	it	PP(PP)	it
POprc559_2:433	in	IN(IN)	in
POprc559_2:434	er	UH(UH)	er
POprc559_2:435	_0	PA(PA)	
POprc559_2:436	in	IN(IN)	in
POprc559_2:437	a	DT(DT)	a
POprc559_2:438	_0	PA(PA)	
POprc559_2:439	accordance	NN(NN)	accordance
POprc559_2:440	with	IN(IN)	with
POprc559_2:441	the	DT(DT)	the
POprc559_2:442	consultation	NN(NN)	consultation
POprc559_2:443	with	IN(IN)	with
POprc559_2:444	our	PP$(PP$)	we
POprc559_2:445	_0	PA(PA)	
POprc559_2:446	most	RBS(RBS)	most
POprc559_2:447	closest	JJS(JJS)	close
POprc559_2:448	er	UH(UH)	er
POprc559_2:449	_0	PA(PA)	
POprc559_2:450	er	UH(UH)	er
POprc559_2:451	_0	PA(PA)	
POprc559_2:452	ally	NN(NN)	ally
POprc559_2:453	in	IN(IN)	in
POprc559_2:454	this	DT(DT)	this
POprc559_2:455	respect	NN(NN)	respect
POprc559_2:456	er	UH(UH)	er
POprc559_2:457	norway	NP(NP)	norway
POprc559_2:458	hh	BR(BR)	
POprc559_2:459	and	CC(CC)	and
POprc559_2:460	certainly	RB(RB)	certainly
POprc559_2:461	it	PP(PP)	it
POprc559_2:462	is	VBZ(VBZ)	be
POprc559_2:463	a	DT(DT)	a
POprc559_2:464	market	NN(NN)	market
POprc559_2:465	issue	NN(NN)	issue
POprc559_2:466	after	IN(IN)	after
POprc559_2:467	the	DT(DT)	the
POprc559_2:468	publication	NN(NN)	publication
POprc559_2:469	of	IN(IN)	of
POprc559_2:470	energy	NN(NN)	energy
POprc559_2:471	strategy	NN(NN)	strategy
POprc559_2:472	we	PP(PP)	we
POprc559_2:473	are	VBP(VBP)	be
POprc559_2:474	preparing	VVG(VVG)	prepare
POprc559_2:475	final	JJ(JJ)	final
POprc559_2:476	report	NN(NN)	report
POprc559_2:477	er	UH(UH)	er
POprc559_2:478	for	IN(IN)	for
POprc559_2:479	er	UH(UH)	er
POprc559_2:480	the	DT(DT)	the
POprc559_2:481	situation	NN(NN)	situation
POprc559_2:482	internal	NN(NN)	internal
POprc559_2:483	market	NN(NN)	market
POprc559_2:484	that	PRE(PRE)	that
POprc559_2:485	will	MD(MD)	will
POprc559_2:486	take	VV(VV)	take
POprc559_2:487	into	IN(IN)	into
POprc559_2:488	account	NN(NN)	account
POprc559_2:489	_0	PA(PA)	
POprc559_2:490	findings	NNS(NNS)	finding
POprc559_2:491	of	IN(IN)	of
POprc559_2:492	p_sectoral	PVC(JJ)	
POprc559_2:493	enquiry	NN(NN)	enquiry
POprc559_2:494	_0	PA(PA)	
POprc559_2:495	and	CC(CC)	and
POprc559_2:496	norway	NP(NP)	norway
POprc559_2:497	is	VBZ(VBZ)	be
POprc559_2:498	part	NN(NN)	part
POprc559_2:499	of	IN(IN)	of
POprc559_2:500	the	NP(NP)	the
POprc559_2:501	european	NP(NP)	european
POprc559_2:502	economic	NP(NP)	economic
POprc559_2:503	area	NP(NP)	area
POprc559_2:504	_0	PA(PA)	
POprc559_2:505	so	DM(DM)	so
POprc559_2:506	it	PP(PP)	it
POprc559_2:507	's	VBS(VBS)	be
POprc559_2:508	very	RB(RB)	very
POprc559_2:509	important	JJ(JJ)	important
POprc559_2:510	to	TO(TO)	to
POprc559_2:511	have	VH(VH)	have
POprc559_2:512	norway	NP(NP)	norway
POprc559_2:513	's	POS(POS)	's
POprc559_2:514	u-	XX(XX)	
POprc559_2:515	issues	NNS(NNS)	issue
POprc559_2:516	on	IN(IN)	on
POprc559_2:517	the	DT(DT)	the
POprc559_2:518	development	NN(NN)	development
POprc559_2:519	of	IN(IN)	of
POprc559_2:520	internal	NN(NN)	internal
POprc559_2:521	market	NN(NN)	market
POprc559_2:522	and	CC(CC)	and
POprc559_2:523	norwegian	JJ(JJ)	norwegian
POprc559_2:524	companies	NNS(NNS)	company
POprc559_2:525	are	VBP(VBP)	be
POprc559_2:526	also	RB(RB)	also
POprc559_2:527	participating	VVG(VVG)	participate
POprc559_2:528	in	IN(IN)	in
POprc559_2:529	the	DT(DT)	the
POprc559_2:530	nor-	XX(XX)	
POprc559_2:531	internal	NN(NN)	internal
POprc559_2:532	market	NN(NN)	market
POprc559_2:533	that	DT(DT)	that
POprc559_2:534	is	VBZ(VBZ)	be
POprc559_2:535	also	RB(RB)	also
POprc559_2:536	important	JJ(JJ)	important
POprc559_2:537	_0	PA(PA)	
POprc559_2:538	input	NN(NN)	input
POprc559_2:539	from	IN(IN)	from
POprc559_2:540	this	DT(DT)	this
POprc559_2:541	side	NN(NN)	side
POprc559_2:542	from	IN(IN)	from
POprc559_2:543	norwegian	JJ(JJ)	norwegian
POprc559_2:544	companies	NNS(NNS)	company
POprc559_2:545	hh	BR(BR)	
POprc559_2:546	fourthly	RB(RB)	fourthly
POprc559_2:547	_0	PA(PA)	
POprc559_2:548	it	PP(PP)	it
POprc559_2:549	is	VBZ(VBZ)	be
POprc559_2:550	also	RB(RB)	also
POprc559_2:551	important	JJ(JJ)	important
POprc559_2:552	to	IN(IN)/TO(TO)	to
POprc559_2:553	how	WRB(WRB)	how
POprc559_2:554	very	RB(RB)	very
POprc559_2:555	important	JJ(JJ)	important
POprc559_2:556	_0	PA(PA)	
POprc559_2:557	international	JJ(JJ)	international
POprc559_2:558	vision	NN(NN)	vision
POprc559_2:559	because	IN(IN)	because
POprc559_2:560	security	NN(NN)	security
POprc559_2:561	of	IN(IN)	of
POprc559_2:562	supply	NN(NN)	supply
POprc559_2:563	climate	NN(NN)	climate
POprc559_2:564	change	NN(NN)	change
POprc559_2:565	involve	VVP(VVP)	involve
POprc559_2:566	not	RB(RB)	not
POprc559_2:567	just	RB(RB)	just
POprc559_2:568	two	CD(CD)	two
POprc559_2:569	players	NNS(NNS)	player
POprc559_2:570	norway	NP(NP)	norway
POprc559_2:571	and	CC(CC)	and
POprc559_2:572	the	DT(DT)	the
POprc559_2:573	european	NP(NP)	european
POprc559_2:574	union	NP(NP)	union
POprc559_2:575	_0	PA(PA)	
POprc559_2:576	it	PP(PP)	it
POprc559_2:577	involves	VVZ(VVZ)	involve
POprc559_2:578	also	RB(RB)	also
POprc559_2:579	g-	XX(XX)	
POprc559_2:580	the	DT(DT)	the
POprc559_2:581	global	JJ(JJ)	global
POprc559_2:582	er	UH(UH)	er
POprc559_2:583	partnership	NN(NN)	partnership
POprc559_2:584	and	CC(CC)	and
POprc559_2:585	we	PP(PP)	we
POprc559_2:586	reflected	VVD(VVD)	reflect
POprc559_2:587	on	IN(IN)	on
POprc559_2:588	the	DT(DT)	the
POprc559_2:589	result	NN(NN)	result
POprc559_2:590	of	IN(IN)	of
POprc559_2:591	s_g	NP(NP)	s_g
POprc559_2:592	eight	CD(CD)	eight
POprc559_2:593	summit	NN(NN)	summit
POprc559_2:594	how	WRB(WRB)	how
POprc559_2:595	follow	VV(VV)	follow
POprc559_2:596	the	DT(DT)	the
POprc559_2:597	conclusions	NNS(NNS)	conclusion
POprc559_2:598	from	IN(IN)	from
POprc559_2:599	this	DT(DT)	this
POprc559_2:600	hh	BR(BR)	
POprc559_2:601	issues	NNS(NNS)	issue
POprc559_2:602	related	JJ(JJ)	related
POprc559_2:603	_0	PA(PA)	
POprc559_2:604	also	RB(RB)	also
POprc559_2:605	to	IN(IN)	to
POprc559_2:606	the	DT(DT)	the
POprc559_2:607	participation	NN(NN)	participation
POprc559_2:608	_0	PA(PA)	
POprc559_2:609	er	UH(UH)	er
POprc559_2:610	eventual	JJ(JJ)	eventual
POprc559_2:611	p_parstivision	PVC(NN)	
POprc559_2:612	er	UH(UH)	er
POprc559_2:613	of	IN(IN)	of
