POprc522_1:1	okay	RE(RE)	okay
POprc522_3:240	are	VBP(VBP)	be
POprc522_3:241	always	RB(RB)	always
POprc522_3:242	doubts	NNS(NNS)	doubt
POprc522_3:243	_0	PA(PA)	
POprc522_3:244	about	IN(IN)	about
POprc522_3:245	the	DT(DT)	the
POprc522_3:246	european	NP(NP)	european
POprc522_3:247	union	NP(NP)	union
POprc522_3:248	's	POS(POS)	's
POprc522_3:249	ability	NN(NN)	ability
POprc522_3:250	_0	PA(PA)	
POprc522_3:251	in	IN(IN)	in
POprc522_3:252	p_specifilically	PVC(JJ)/PVC(RB)	
POprc522_3:253	situations	NNS(NNS)	situation
POprc522_3:254	like	IN(IN)	like
POprc522_3:255	we	PP(PP)	we
POprc522_3:256	have	VHP(VHP)	have
POprc522_3:257	today	RB(RB)	today
POprc522_3:258	_0	PA(PA)	
POprc522_3:259	to	TO(TO)	to
POprc522_3:260	come	VV(VV)	come
POprc522_3:261	to	IN(IN)	to
POprc522_3:262	a	DT(DT)	a
POprc522_3:263	common	JJ(JJ)	common
POprc522_3:264	agreement	NN(NN)	agreement
POprc522_3:265	and	CC(CC)	and
POprc522_3:266	common	JJ(JJ)	common
POprc522_3:267	policy	NN(NN)	policy
POprc522_3:268	_0	PA(PA)	
POprc522_3:269	now	RB(RB)	now
POprc522_3:270	er	UH(UH)	er
POprc522_3:271	i	PP(PP)	i
POprc522_3:272	th-	XX(XX)	
POprc522_3:273	think	VVP(VVP)	think
POprc522_3:274	that	IN(IN)	that
POprc522_3:275	these	DT(DT)	these
POprc522_3:276	doubters	NNS(NNS)	doubter
POprc522_3:277	have	VHP(VHP)	have
POprc522_3:278	been	VBN(VBN)	be
POprc522_3:279	put	VVN(VVN)	put
POprc522_3:280	into	IN(IN)	into
POprc522_3:281	doubt	NN(NN)	doubt
POprc522_3:282	_0	PA(PA)	
POprc522_3:283	hh	BR(BR)	
POprc522_3:284	we	PP(PP)	we
POprc522_3:285	had	VHD(VHD)	have
POprc522_3:286	a	DT(DT)	a
POprc522_3:287	three	CD(CD)	three
POprc522_3:288	and	CC(CC)	and
POprc522_3:289	a	DT(DT)	a
POprc522_3:290	half	NN(NN)	half
POprc522_3:291	hour	NN(NN)	hour
POprc522_3:292	_0	PA(PA)	
POprc522_3:293	hh	BR(BR)	
POprc522_3:294	er	UH(UH)	er
POprc522_3:295	meeting	VVG(NN)	meet/meeting
POprc522_3:296	_0	PA(PA)	
POprc522_3:297	er	UH(UH)	er
POprc522_3:298	very	RB(RB)	very
POprc522_3:299	intense	JJ(JJ)	intense
POprc522_3:300	discussions	NNS(NNS)	discussion
POprc522_3:301	_0	PA(PA)	
POprc522_3:302	but	CC(CC)	but
POprc522_3:303	not	RB(RB)	not
POprc522_3:304	this	DT(DT)	this
POprc522_3:305	unity	NN(NN)	unity
POprc522_3:306	_1	PA(PA)	
POprc522_3:307	of	RB(RB)	of
POprc522_3:308	course	RB(RB)	course
POprc522_3:309	we	PP(PP)	we
POprc522_3:310	engaged	VVD(VVD)	engage
POprc522_3:311	er	UH(UH)	er
POprc522_3:312	in	IN(IN)	in
POprc522_3:313	er	UH(UH)	er
POprc522_3:314	quite	PDT(PDT)	quite
POprc522_3:315	a	DT(DT)	a
POprc522_3:316	lot	NN(NN)	lot
POprc522_3:317	of	IN(IN)	of
POprc522_3:318	drafting	VVG(NN)	draft/drafting
POprc522_3:319	_0	PA(PA)	
POprc522_3:320	after	IN(IN)	after
POprc522_3:321	all	DT(DT)	all
POprc522_3:322	we	PP(PP)	we
POprc522_3:323	are	VBP(VBP)	be
POprc522_3:324	dealing	VVG(VVG)	deal
POprc522_3:325	with	IN(IN)	with
POprc522_3:326	very	RB(RB)	very
POprc522_3:327	hh	BR(BR)	
POprc522_3:328	er	UH(UH)	er
POprc522_3:329	crucial	JJ(JJ)	crucial
POprc522_3:330	items	NNS(NNS)	item
POprc522_3:331	and	CC(CC)	and
POprc522_3:332	er	UH(UH)	er
POprc522_3:333	it	PP(PP)	it
POprc522_3:334	is	VBZ(VBZ)	be
POprc522_3:335	important	JJ(JJ)	important
POprc522_3:336	to	TO(TO)	to
POprc522_3:337	get	VV(VV)	get
POprc522_3:338	the	DT(DT)	the
POprc522_3:339	words	NNS(NNS)	word
POprc522_3:340	and	CC(CC)	and
POprc522_3:341	concepts	NNS(NNS)	concept
POprc522_3:342	right	RB(RB)	right
POprc522_3:343	hh	BR(BR)	
POprc522_3:344	_0	PA(PA)	
POprc522_3:345	but	CC(CC)	but
POprc522_3:346	er	UH(UH)	er
POprc522_3:347	i	PP(PP)	i
POprc522_3:348	can	MD(MD)	can
POprc522_3:349	er	UH(UH)	er
POprc522_3:350	affirm	VV(VV)	affirm
POprc522_3:351	_0	PA(PA)	
POprc522_3:352	that	IN(IN)	that
POprc522_3:353	er	UH(UH)	er
POprc522_3:354	there	EX(EX)	there
POprc522_3:355	are	VBP(VBP)	be
POprc522_3:356	no	DT(DT)	no
POprc522_3:357	divisions	NNS(NNS)	division
POprc522_3:358	er	UH(UH)	er
POprc522_3:359	in	IN(IN)	in
POprc522_3:360	the	DT(DT)	the
POprc522_3:361	european	NP(NP)	european
POprc522_3:362	union	NP(NP)	union
POprc522_3:363	_0	PA(PA)	
POprc522_3:364	and	CC(CC)	and
POprc522_3:365	er	UH(UH)	er
POprc522_3:366	_1	PA(PA)	
POprc522_3:367	the	DT(DT)	the
POprc522_3:368	key	JJ(JJ)	key
POprc522_3:369	_0	PA(PA)	
POprc522_3:370	sentence	NN(NN)	sentence
POprc522_3:371	is	VBZ(VBZ)	be
POprc522_3:372	of	RB(RB)	of
POprc522_3:373	course	RB(RB)	course
POprc522_3:374	er	UH(UH)	er
POprc522_3:375	the	DT(DT)	the
POprc522_3:376	how	WRB(WRB)	how
POprc522_3:377	the	DT(DT)	the
POprc522_3:378	council	NN(NN)	council
POprc522_3:379	calls	VVZ(VVZ)	call
POprc522_3:380	for	IN(IN)	for
POprc522_3:381	an	DT(DT)	a
POprc522_3:382	immediate	JJ(JJ)	immediate
POprc522_3:383	cessation	NN(NN)	cessation
POprc522_3:384	_0	PA(PA)	
POprc522_3:385	of	IN(IN)	of
POprc522_3:386	hostilities	NNS(NNS)	hostility
POprc522_3:387	_0	PA(PA)	
POprc522_3:388	to	TO(TO)	to
POprc522_3:389	be	VB(VB)	be
POprc522_3:390	followed	VVN(VVN)	follow
POprc522_3:391	by	IN(IN)	by
POprc522_3:392	a	DT(DT)	a
POprc522_3:393	sustainable	JJ(JJ)	sustainable
POprc522_3:394	_0	PA(PA)	
POprc522_3:395	ceasefire	NN(NN)	ceasefire
POprc522_3:396	_0	PA(PA)	
POprc522_3:397	and	CC(CC)	and
POprc522_3:398	in	IN(IN)	in
POprc522_3:399	which	WDT(WDT)	which
POprc522_3:400	context	NN(NN)	context
POprc522_3:401	_0	PA(PA)	
POprc522_3:402	the	DT(DT)	the
POprc522_3:403	council	NN(NN)	council
POprc522_3:404	_0	PA(PA)	
POprc522_3:405	fully	RB(RB)	fully
POprc522_3:406	supports	VVZ(VVZ)	support
POprc522_3:407	the	DT(DT)	the
POprc522_3:408	efforts	NNS(NNS)	effort
POprc522_3:409	of	IN(IN)	of
POprc522_3:410	the	DT(DT)	the
POprc522_3:411	s_un	NP(NP)	s_un
POprc522_3:412	secretary	NP(NP)	secretary
POprc522_3:413	general	NP(NP)	general
POprc522_3:414	_0	PA(PA)	
POprc522_3:415	and	CC(CC)	and
POprc522_3:416	the	DT(DT)	the
POprc522_3:417	security	NN(NN)	security
POprc522_3:418	council	NN(NN)	council
POprc522_3:419	to	TO(TO)	to
POprc522_3:420	rapidly	RB(RB)	rapidly
POprc522_3:421	hh	BR(BR)	
POprc522_3:422	er	UH(UH)	er
POprc522_3:423	to	TO(TO)	to
POprc522_3:424	be	VB(VB)	be
POprc522_3:425	convened	VVN(VVN)	convene
POprc522_3:426	to	TO(TO)	to
POprc522_3:427	define	VV(VV)	define
POprc522_3:428	_0	PA(PA)	
POprc522_3:429	the	DT(DT)	the
POprc522_3:430	political	JJ(JJ)	political
POprc522_3:431	framework	NN(NN)	framework
POprc522_3:432	for	IN(IN)	for
POprc522_3:433	a	DT(DT)	a
POprc522_3:434	lasting	JJ(JJ)	lasting
POprc522_3:435	solution	NN(NN)	solution
POprc522_3:436	_0	PA(PA)	
POprc522_3:437	to	TO(TO)	to
POprc522_3:438	be	VB(VB)	be
POprc522_3:439	agreed	VVN(VVN)	agree
POprc522_3:440	on	IN(IN)	on
POprc522_3:441	_0	PA(PA)	
POprc522_3:442	parti-	XX(XX)	
POprc522_3:443	by	IN(IN)	by
POprc522_3:444	all	DT(DT)	all
POprc522_3:445	parties	NNS(NNS)	party
POprc522_3:446	_1	PA(PA)	
POprc522_3:447	hh	BR(BR)	
POprc522_3:448	which	PRE(PRE)	which
POprc522_3:449	is	VBZ(VBZ)	be
POprc522_3:450	also	RB(RB)	also
POprc522_3:451	the	DT(DT)	the
POprc522_3:452	necessary	JJ(JJ)	necessary
POprc522_3:453	precondition	NN(NN)	precondition
POprc522_3:454	for	IN(IN)	for
POprc522_3:455	_0	PA(PA)	
POprc522_3:456	the	DT(DT)	the
POprc522_3:457	deployment	NN(NN)	deployment
POprc522_3:458	of	IN(IN)	of
POprc522_3:459	an	DT(DT)	a
POprc522_3:460	international	JJ(JJ)	international
POprc522_3:461	force	NN(NN)	force
POprc522_3:462	_0	PA(PA)	
POprc522_3:463	a	DT(DT)	a
POprc522_3:464	force	NN(NN)	force
POprc522_3:465	which	PRE(PRE)	which
POprc522_3:466	requires	VVZ(VVZ)	require
POprc522_3:467	a	DT(DT)	a
POprc522_3:468	strong	JJ(JJ)	strong
POprc522_3:469	mandate	NN(NN)	mandate
POprc522_3:470	from	IN(IN)	from
POprc522_3:471	the	DT(DT)	the
POprc522_3:472	s_un	NP(NP)	s_un
POprc522_3:473	hh	BR(BR)	
POprc522_3:474	to	TO(TO)	to
POprc522_3:475	act	VV(VV)	act
POprc522_3:476	in	IN(IN)	in
POprc522_3:477	support	NN(NN)	support
POprc522_3:478	of	IN(IN)	of
POprc522_3:479	a	DT(DT)	a
POprc522_3:480	_0	PA(PA)	
POprc522_3:481	political	JJ(JJ)	political
POprc522_3:482	settlement	NN(NN)	settlement
POprc522_3:483	er	UH(UH)	er
POprc522_3:484	and	CC(CC)	and
POprc522_3:485	the	DT(DT)	the
POprc522_3:486	lebanese	JJ(JJ)	lebanese
POprc522_3:487	armed	NNS(NNS)	armed
POprc522_3:488	forces	NNS(NNS)	force
POprc522_3:489	hh	BR(BR)	
POprc522_3:490	er	UH(UH)	er
POprc522_3:491	_0	PA(PA)	
POprc522_3:492	and	CC(CC)	and
POprc522_3:493	once	RB(RB)	once
POprc522_3:494	_0	PA(PA)	
POprc522_3:495	such	PDT(PDT)	such
POprc522_3:496	a	DT(DT)	a
POprc522_3:497	framework	NN(NN)	framework
POprc522_3:498	has	VHZ(VHZ)	have
POprc522_3:499	been	VBN(VBN)	be
POprc522_3:500	established	VVN(VVN)	establish
POprc522_3:501	_0	PA(PA)	
POprc522_3:502	and	CC(CC)	and
POprc522_3:503	we	PP(PP)	we
POprc522_3:504	_0	PA(PA)	
POprc522_3:505	are	VBP(VBP)	be
POprc522_3:506	_0	PA(PA)	
POprc522_3:507	hopefully	RB(RB)	hopefully
POprc522_3:508	talking	VVG(VVG)	talk
POprc522_3:509	er	UH(UH)	er
POprc522_3:510	_0	PA(PA)	
POprc522_3:511	more	JJR(JJR)	more
POprc522_3:512	about	IN(IN)	about
POprc522_3:513	days	NNS(NNS)	day
POprc522_3:514	rather	RB(RB)	rather
POprc522_3:515	than	IN(IN)	than
POprc522_3:516	weeks	NNS(NNS)	week
POprc522_3:517	hh	BR(BR)	
POprc522_3:518	then	RB(RB)	then
POprc522_3:519	_0	PA(PA)	
POprc522_3:520	the	DT(DT)	the
POprc522_3:521	s_eu	NP(NP)	s_eu
POprc522_3:522	member	NNS(NNS)	member
POprc522_3:523	states	NNS(NNS)	state
POprc522_3:524	_0	PA(PA)	
POprc522_3:525	or	CC(CC)	or
POprc522_3:526	s_eu	NP(NP)	s_eu
POprc522_3:527	member	NNS(NNS)	member
POprc522_3:528	states	NNS(NNS)	state
POprc522_3:529	have	VHP(VHP)	have
POprc522_3:530	indicated	VVN(VVN)	indicate
POprc522_3:531	their	PP$(PP$)	they
POprc522_3:532	readiness	NN(NN)	readiness
POprc522_3:533	to	TO(TO)	to
POprc522_3:534	contribute	VV(VV)	contribute
POprc522_3:535	to	IN(IN)	to
POprc522_3:536	such	PDT(PDT)	such
POprc522_3:537	an	DT(DT)	a
POprc522_3:538	operation	NN(NN)	operation
POprc522_3:539	hh	BR(BR)	
POprc522_3:540	together	RB(RB)	together
POprc522_3:541	with	IN(IN)	with
POprc522_3:542	international	JJ(JJ)	international
POprc522_3:543	partners	NNS(NNS)	partner
POprc522_3:544	_0	PA(PA)	
POprc522_3:545	we	PP(PP)	we
POprc522_3:546	are	VBP(VBP)	be
POprc522_3:547	not	RB(RB)	not
POprc522_3:548	talking	VVG(VVG)	talk
POprc522_3:549	about	IN(IN)	about
POprc522_3:550	an	DT(DT)	a
POprc522_3:551	s_eu	NP(NP)	s_eu
POprc522_3:552	operation	NN(NN)	operation
POprc522_3:553	_1	PA(PA)	
POprc522_3:554	er	UH(UH)	er
POprc522_3:555	it	PP(PP)	it
POprc522_3:556	is	VBZ(VBZ)	be
POprc522_3:557	a	DT(DT)	a
POprc522_3:558	united	NPS(NPS)	united
POprc522_3:559	nations	NPS(NPS)	nation
POprc522_3:560	er	UH(UH)	er
POprc522_3:561	operation	NN(NN)	operation
POprc522_3:562	_0	PA(PA)	
POprc522_3:563	but	CC(CC)	but
POprc522_3:564	er	UH(UH)	er
POprc522_3:565	we	PP(PP)	we
POprc522_3:566	recognize	VVP(VVP)	recognize
POprc522_3:567	that	IN(IN)	that
POprc522_3:568	the	DT(DT)	the
POprc522_3:569	european	NP(NP)	european
POprc522_3:570	union	NP(NP)	union
POprc522_3:571	hh	BR(BR)	
POprc522_3:572	er	UH(UH)	er
POprc522_3:573	member	NNS(NNS)	member
POprc522_3:574	states	NNS(NNS)	state
POprc522_3:575	will	MD(MD)	will
POprc522_3:576	play	VV(VV)	play
POprc522_3:577	a	DT(DT)	a
POprc522_3:578	s-	XX(XX)	
POprc522_3:579	er	UH(UH)	er
POprc522_3:580	quite	RB(RB)	quite
POprc522_3:581	significant	JJ(JJ)	significant
POprc522_3:582	role	NN(NN)	role
POprc522_3:583	_0	PA(PA)	
POprc522_3:584	in	IN(IN)	in
POprc522_3:585	such	PDT(PDT)	such
POprc522_3:586	a	DT(DT)	a
POprc522_3:587	force	NN(NN)	force
POprc522_3:588	hh	BR(BR)	
POprc522_3:589	er	UH(UH)	er
POprc522_3:590	and	CC(CC)	and
POprc522_3:591	several	JJ(JJ)	several
POprc522_3:592	_0	PA(PA)	
POprc522_3:593	member	NNS(NNS)	member
POprc522_3:594	states	NNS(NNS)	state
POprc522_3:595	er	UH(UH)	er
POprc522_3:596	have	VHP(VHP)	have
POprc522_3:597	already	RB(RB)	already
POprc522_3:598	_0	PA(PA)	
POprc522_3:599	indicated	VVN(VVN)	indicate
POprc522_3:600	their	PP$(PP$)	they
POprc522_3:601	readiness	NN(NN)	readiness
POprc522_3:602	to	TO(TO)	to
POprc522_3:603	contribute	VV(VV)	contribute
POprc522_3:604	hh	BR(BR)	
POprc522_3:605	for	IN(IN)	for
POprc522_3:606	many	JJ(JJ)	many
POprc522_3:607	member	NNS(NNS)	member
POprc522_3:608	states	NNS(NNS)	state
POprc522_3:609	of	RB(RB)	of
POprc522_3:610	course	RB(RB)	course
POprc522_3:611	this	DT(DT)	this
POprc522_3:612	er	UH(UH)	er
POprc522_3:613	remains	VVZ(VVZ)	remain
POprc522_3:614	an	DT(DT)	a
POprc522_3:615	open	JJ(JJ)	open
POprc522_3:616	_0	PA(PA)	
POprc522_3:617	question	NN(NN)	question
POprc522_3:618	hh	BR(BR)	
POprc522_3:619	and	CC(CC)	and
POprc522_3:620	er	UH(UH)	er
POprc522_3:621	indeed	RB(RB)	indeed
POprc522_3:622	_0	PA(PA)	
POprc522_3:623	in	IN(IN)	in
POprc522_3:624	all	DT(DT)	all
POprc522_3:625	our	PP$(PP$)	we
POprc522_3:626	countries	NNS(NNS)	country
POprc522_3:627	er	UH(UH)	er
POprc522_3:628	participating	VVG(VVG)	participate
POprc522_3:629	in	IN(IN)	in
POprc522_3:630	any	DT(DT)	any
POprc522_3:631	_0	PA(PA)	
POprc522_3:632	er	UH(UH)	er
POprc522_3:633	peacekeeping	JJ(JJ)	peacekeeping
POprc522_3:634	operations	NNS(NNS)	operation
POprc522_3:635	_0	PA(PA)	
POprc522_3:636	let	VV(VV)	let
POprc522_3:637	alone	RB(RB)	alone
POprc522_3:638	an	DT(DT)	a
POprc522_3:639	operation	NN(NN)	operation
POprc522_3:640	which	PRE(PRE)	which
POprc522_3:641	will	MD(MD)	will
POprc522_3:642	be	VB(VB)	be
POprc522_3:643	more	RBR(RBR)	more
POprc522_3:644	demanding	JJ(JJ)	demanding
POprc522_3:645	_0	PA(PA)	
POprc522_3:646	er	UH(UH)	er
POprc522_3:647	than	IN(IN)	than
POprc522_3:648	the	DT(DT)	the
POprc522_3:649	operations	NNS(NNS)	operation
