PBsve426_1:1	hello	FI(FI)	hello
PBsve426_19:67	from	IN(IN)	from
PBsve426_19:68	the	DT(DT)	the
PBsve426_19:69	deposit	NN(NN)	deposit
PBsve426_19:70	_0	PA(PA)	
PBsve426_19:71	now	RB(RB)	now
PBsve426_19:72	i	PP(PP)	i
PBsve426_19:73	could	MD(MD)	can
PBsve426_19:74	offer	VV(VV)	offer
PBsve426_19:75	you	PP(PP)	you
PBsve426_19:76	that	IN(IN)	that
PBsve426_19:77	i	PP(PP)	i
PBsve426_19:78	_0	PA(PA)	
PBsve426_19:79	deduct	VVP(VVP)	deduct
PBsve426_19:80	er	UH(UH)	er
PBsve426_19:81	_1	PA(PA)	
PBsve426_19:82	the	DT(DT)	the
PBsve426_19:83	four	CD(CD)	four
PBsve426_19:84	hundred	CD(CD)	hundred
PBsve426_19:85	euro	NPS(NPS)	euro
PBsve426_19:86	_0	PA(PA)	
PBsve426_19:87	from	IN(IN)	from
PBsve426_19:88	this	DT(DT)	this
PBsve426_19:89	amount	NN(NN)	amount
PBsve426_19:90	and	CC(CC)	and
PBsve426_19:91	then	RB(RB)	then
PBsve426_19:92	_0	PA(PA)	
PBsve426_19:93	you	PP(PP)	you
PBsve426_19:94	just	RB(RB)	just
PBsve426_19:95	have	VHP(VHP)	have
PBsve426_19:96	to	TO(TO)	to
PBsve426_19:97	pay	VV(VV)	pay
PBsve426_19:98	one	CD(CD)	one
PBsve426_19:99	hundred	CD(CD)	hundred
PBsve426_19:100	forty	CD(CD)	forty
PBsve426_19:101	euro	NPS(NPS)	euro
PBsve426_19:102	to	IN(IN)	to
PBsve426_19:103	us	PP(PP)	we
PBsve426_19:104	_1	PA(PA)	

PBsve426_20:1	mhm	RE(RE)	mhm

PBsve426_21:1	that	DT(DT)	that
PBsve426_21:2	's	VBS(VBS)	be
PBsve426_21:3	s-	XX(XX)	
PBsve426_21:4	you-	XX(XX)	
PBsve426_21:5	er	UH(UH)	er
PBsve426_21:6	your	PP$(PP$)	you
PBsve426_21:7	booking	VVG(NN)	book/booking
PBsve426_21:8	started	VVD(VVD)	start
PBsve426_21:9	in	IN(IN)	in
PBsve426_21:10	september	NP(NP)	september
PBsve426_21:11	two	CD(CD)	two
PBsve426_21:12	thousand	CD(CD)	thousand
PBsve426_21:13	and	CC(CC)	and
PBsve426_21:14	three	CD(CD)	three

PBsve426_22:1	oh	UH(UH)	oh
PBsve426_22:2	no	RE(RE)	no
PBsve426_22:3	no	RE(RE)	no
PBsve426_22:4	no	RE(RE)	no

PBsve426_23:1	and	CC(CC)	and

PBsve426_24:1	erm	UH(UH)	erm

PBsve426_25:1	now	RB(RB)	now
PBsve426_25:2	you	PP(PP)	you
PBsve426_25:3	would	MD(MD)	will
PBsve426_25:4	like-	XX(XX)	

PBsve426_26:1	october	NP(NP)	october
PBsve426_26:2	_1	PA(PA)	
PBsve426_26:3	october	NP(NP)	october
PBsve426_26:4	_3	PA(PA)	

PBsve426_27:1	no	RE(RE)	no
PBsve426_27:2	in	IN(IN)	in
PBsve426_27:3	september	NP(NP)	september

PBsve426_28:1	but	CC(CC)	but
PBsve426_28:2	erm	UH(UH)	erm
PBsve426_28:3	booked	VVD(VVD)/VVN(VVN)	book
PBsve426_28:4	october	NP(NP)	october

PBsve426_29:1	you	PP(PP)	you
PBsve426_29:2	're	VBP(VBP)	be
PBsve426_29:3	booked	VVN(VVN)	book
PBsve426_29:4	from	IN(IN)	from
PBsve426_29:5	september	NP(NP)	september
PBsve426_29:6	_2	PA(PA)	

PBsve426_30:1	and	CC(CC)	and

PBsve426_31:1	i	PP(PP)	i
PBsve426_31:2	think	VVP(VVP)	think
PBsve426_31:3	there	EX(EX)	there
PBsve426_31:4	was	VBD(VBD)	be
PBsve426_31:5	a	DT(DT)	a
PBsve426_31:6	problem	NN(NN)	problem
PBsve426_31:7	er	UH(UH)	er
PBsve426_31:8	with	IN(IN)	with
PBsve426_31:9	your	PP$(PP$)	you
PBsve426_31:10	visa	NNS(NNS)	visum
PBsve426_31:11	_0	PA(PA)	
PBsve426_31:12	but	CC(CC)	but
PBsve426_31:13	then	RB(RB)	then
PBsve426_31:14	you	PP(PP)	you
PBsve426_31:15	even	RB(RB)	even
PBsve426_31:16	have	VHP(VHP)	have
PBsve426_31:17	to	TO(TO)	to
PBsve426_31:18	pay	VV(VV)	pay
PBsve426_31:19	the	DT(DT)	the
PBsve426_31:20	rent	NN(NN)	rent
PBsve426_31:21	_0	PA(PA)	
PBsve426_31:22	for	IN(IN)	for
PBsve426_31:23	september	NP(NP)	september
PBsve426_31:24	i	PP(PP)	i
PBsve426_31:25	guess	VVP(VVP)	guess
PBsve426_31:26	_6	PA(PA)	
PBsve426_31:27	do	VVP(VVP)	do
PBsve426_31:28	you	PP(PP)	you
PBsve426_31:29	remember	VV(VV)	remember
PBsve426_31:30	you-	XX(XX)	
PBsve426_31:31	the	DT(DT)	the
PBsve426_31:32	last	JJ(JJ)	last
PBsve426_31:33	time	NN(NN)	time
PBsve426_31:34	you	PP(PP)	you
PBsve426_31:35	came	VVD(VVD)	come
PBsve426_31:36	to	IN(IN)	to
PBsve426_31:37	our	PP$(PP$)	we
PBsve426_31:38	office	NN(NN)	office
PBsve426_31:39	was	VBD(VBD)	be
PBsve426_31:40	because	IN(IN)	because
PBsve426_31:41	_0	PA(PA)	
PBsve426_31:42	hh	BR(BR)	
PBsve426_31:43	erm	UH(UH)	erm
PBsve426_31:44	_0	PA(PA)	
PBsve426_31:45	we	PP(PP)	we
PBsve426_31:46	sent	VVD(VVD)	send
PBsve426_31:47	you	PP(PP)	you
PBsve426_31:48	an	DT(DT)	a
PBsve426_31:49	invoice	NN(NN)	invoice
PBsve426_31:50	for	IN(IN)	for
PBsve426_31:51	the	DT(DT)	the
PBsve426_31:52	rent	NN(NN)	rent
PBsve426_31:53	of	IN(IN)	of
PBsve426_31:54	september	NP(NP)	september
PBsve426_31:55	because	IN(IN)	because
PBsve426_31:56	a_[place1]	NP(NP)	
PBsve426_31:57	hh	BR(BR)	
PBsve426_31:58	asked	VVD(VVD)	ask
PBsve426_31:59	you	PP(PP)	you
PBsve426_31:60	for	IN(IN)	for
PBsve426_31:61	for	IN(IN)	for
PBsve426_31:62	the	DT(DT)	the
PBsve426_31:63	rent	NN(NN)	rent
PBsve426_31:64	of	IN(IN)	of
PBsve426_31:65	september	NP(NP)	september

PBsve426_32:1	no	RE(RE)	no
PBsve426_32:2	no	RE(RE)	no
PBsve426_32:3	no	RE(RE)	no

PBsve426_33:1	no	RE(RE)	no
PBsve426_33:2	from	IN(IN)	from
PBsve426_33:3	from	IN(IN)	from
PBsve426_33:4	_22	PA(PA)	

PBsve426_34:1	here	RB(RB)	here
PBsve426_34:2	your	PP$(PP$)	you
PBsve426_34:3	s_id	NN(NN)	s_id
PBsve426_34:4	_0	PA(PA)	
PBsve426_34:5	er	UH(UH)	er
PBsve426_34:6	my	PP$(PP$)	i
PBsve426_34:7	colleague	NN(NN)	colleague
PBsve426_34:8	will	MD(MD)	will
PBsve426_34:9	just	RB(RB)	just
PBsve426_34:10	check	VV(VV)	check
PBsve426_34:11	_0	PA(PA)	
PBsve426_34:12	for	IN(IN)	for
PBsve426_34:13	because	IN(IN)	because
PBsve426_34:14	_0	PA(PA)	
PBsve426_34:15	we	PP(PP)	we
PBsve426_34:16	somehow	RB(RB)	somehow
PBsve426_34:17	used	VVD(VVD)	use
PBsve426_34:18	a	DT(DT)	a
PBsve426_34:19	part	NN(NN)	part
PBsve426_34:20	of	IN(IN)	of
PBsve426_34:21	the	DT(DT)	the
PBsve426_34:22	deposit	NN(NN)	deposit
PBsve426_34:23	for	IN(IN)	for
PBsve426_34:24	the	DT(DT)	the
PBsve426_34:25	rent	NN(NN)	rent
PBsve426_34:26	_0	PA(PA)	
PBsve426_34:27	for	IN(IN)	for
PBsve426_34:28	september	NP(NP)	september
PBsve426_34:29	and	CC(CC)	and
PBsve426_34:30	she	PP(PP)	she
PBsve426_34:31	will	MD(MD)	will
PBsve426_34:32	check	VV(VV)	check
PBsve426_34:33	it	PP(PP)	it
PBsve426_34:34	now	RB(RB)	now
PBsve426_34:35	_1	PA(PA)	
PBsve426_34:36	so	DM(DM)	so
PBsve426_34:37	it	PP(PP)	it
PBsve426_34:38	will	MD(MD)	will
PBsve426_34:39	just	RB(RB)	just
PBsve426_34:40	take	VV(VV)	take
PBsve426_34:41	a	DT(DT)	a
PBsve426_34:42	few	JJ(JJ)	few
PBsve426_34:43	minutes	NNS(NNS)	minute
PBsve426_34:44	_2	PA(PA)	

PBsve426_35:1	mhm	RE(RE)	mhm
PBsve426_35:2	_5	PA(PA)	
PBsve426_35:3	but	CC(CC)	but
PBsve426_35:4	er	UH(UH)	er
PBsve426_35:5	_0	PA(PA)	
PBsve426_35:6	two	CD(CD)	two
PBsve426_35:7	two	CD(CD)	two
PBsve426_35:8	thou-	XX(XX)	
PBsve426_35:9	_0	PA(PA)	
PBsve426_35:10	two	CD(CD)	two
PBsve426_35:11	thousand	CD(CD)	thousand
PBsve426_35:12	three	CD(CD)	three

PBsve426_36:1	mhm	RE(RE)	mhm

PBsve426_37:1	i	PP(PP)	i
PBsve426_37:2	was	VBD(VBD)	be
PBsve426_37:3	erm	UH(UH)	erm
PBsve426_37:4	_0	PA(PA)	
PBsve426_37:5	erm	UH(UH)	erm
PBsve426_37:6	working	VVG(VVG)	work
PBsve426_37:7	_0	PA(PA)	
PBsve426_37:8	in	IN(IN)	in
PBsve426_37:9	tokyo	NP(NP)	tokyo

PBsve426_38:1	mhm	RE(RE)	mhm

PBsve426_39:1	er	UH(UH)	er
PBsve426_39:2	until	IN(IN)	until
PBsve426_39:3	_0	PA(PA)	
PBsve426_39:4	thirtieth	NN(NN)	thirtieth
PBsve426_39:5	_0	PA(PA)	
PBsve426_39:6	of	IN(IN)	of
PBsve426_39:7	_1	PA(PA)	
PBsve426_39:8	september	NP(NP)	september
PBsve426_39:9	_0	PA(PA)	
PBsve426_39:10	and	CC(CC)	and
PBsve426_39:11	as	IN(IN)	as
PBsve426_39:12	_0	PA(PA)	
PBsve426_39:13	in	IN(IN)	in
PBsve426_39:14	september	NP(NP)	september
PBsve426_39:15	i	PP(PP)	i
PBsve426_39:16	send	V(VVD)	send
PBsve426_39:17	_0	PA(PA)	
PBsve426_39:18	you	PP(PP)	you
PBsve426_39:19	the	DT(DT)	the
PBsve426_39:20	message	NN(NN)	message
PBsve426_39:21	_0	PA(PA)	
PBsve426_39:22	from	IN(IN)	from
PBsve426_39:23	japan	NP(NP)	japan
PBsve426_39:24	to	IN(IN)	to
PBsve426_39:25	here	RB(RB)	here

PBsve426_40:1	mhm	RE(RE)	mhm
PBsve426_40:2	_1	PA(PA)	
PBsve426_40:3	that	IN(IN)	that
PBsve426_40:4	you	PP(PP)	you
PBsve426_40:5	were	VBD(VBD)	be

PBsve426_41:1	erm	UH(UH)	erm
PBsve426_41:2	that	IN(IN)	that
PBsve426_41:3	_0	PA(PA)	
PBsve426_41:4	i	PP(PP)	i
PBsve426_41:5	have	VHP(VHP)	have
PBsve426_41:6	a	DT(DT)	a
PBsve426_41:7	_0	PA(PA)	
PBsve426_41:8	certification	NN(NN)	certification
PBsve426_41:9	_1	PA(PA)	

PBsve426_42:1	that	IN(IN)	that
PBsve426_42:2	you	PP(PP)	you
PBsve426_42:3	're	VBP(VBP)	be
PBsve426_42:4	going	VVG(VVG)	go
PBsve426_42:5	to	TO(TO)	to
PBsve426_42:6	to	TO(TO)	to
PBsve426_42:7	start	VV(VV)	start

PBsve426_43:1	yes	RE(RE)	yes
PBsve426_43:2	from	IN(IN)	from
PBsve426_43:3	from	IN(IN)	from
PBsve426_43:4	october	NP(NP)	october

PBsve426_44:1	booking	VVG(VVG)	book
PBsve426_44:2	from	IN(IN)	from
PBsve426_44:3	october	NP(NP)	october
PBsve426_44:4	on	RB(RB)	on
PBsve426_44:5	_0	PA(PA)	
PBsve426_44:6	i	PP(PP)	i
PBsve426_44:7	think	VVP(VVP)	think
PBsve426_44:8	you	PP(PP)	you
PBsve426_44:9	're	VBP(VBP)	be
PBsve426_44:10	right	JJ(JJ)	right
PBsve426_44:11	i	PP(PP)	i
PBsve426_44:12	just	RB(RB)	just
PBsve426_44:13	want	VVP(VVP)	want
PBsve426_44:14	to	TO(TO)	to
PBsve426_44:15	check	VV(VV)	check
PBsve426_44:16	it	PP(PP)	it

PBsve426_45:1	yes	RE(RE)	yes

PBsve426_46:1	so	IN(IN)	so
PBsve426_46:2	_0	PA(PA)	
PBsve426_46:3	that	IN(IN)	that
PBsve426_46:4	we	PP(PP)	we
PBsve426_46:5	're	VBP(VBP)	be
PBsve426_46:6	sure	JJ(JJ)	sure
PBsve426_46:7	that	IN(IN)	that
PBsve426_46:8	everything	NN(NN)	everything
PBsve426_46:9	is	VBZ(VBZ)	be
PBsve426_46:10	okay	JJ(JJ)	okay
PBsve426_46:11	_2	PA(PA)	
PBsve426_46:12	so	DM(DM)	so
PBsve426_46:13	but	CC(CC)	but
PBsve426_46:14	in	IN(IN)	in
PBsve426_46:15	case	NN(NN)	case
PBsve426_46:16	_32	PA(PA)	
PBsve426_46:17	so	DM(DM)	so
PBsve426_46:18	in	IN(IN)	in
PBsve426_46:19	case	NN(NN)	case
PBsve426_46:20	you	PP(PP)	you
PBsve426_46:21	do	VVP(VVP)	do
PBsve426_46:22	n't	RB(RB)	not
PBsve426_46:23	have	VH(VH)	have
PBsve426_46:24	to	TO(TO)	to
PBsve426_46:25	pay	VV(VV)	pay
PBsve426_46:26	for	IN(IN)	for
PBsve426_46:27	september	NP(NP)	september
PBsve426_46:28	_7	PA(PA)	
PBsve426_46:29	the	DT(DT)	the
PBsve426_46:30	administration	NN(NN)	administration
PBsve426_46:31	fee	NN(NN)	fee
PBsve426_46:32	would	MD(MD)	will
PBsve426_46:33	be	VB(VB)	be
PBsve426_46:34	_4	PA(PA)	
PBsve426_46:35	five	CD(CD)	five
PBsve426_46:36	hundred	CD(CD)	hundred
PBsve426_46:37	twenty-five	CD(CD)	twenty-five
PBsve426_46:38	_1	PA(PA)	
PBsve426_46:39	this	DT(DT)	this
PBsve426_46:40	would	MD(MD)	will
PBsve426_46:41	be	VB(VB)	be
PBsve426_46:42	from	IN(IN)	from
PBsve426_46:43	october	NP(NP)	october
PBsve426_46:44	till	IN(IN)	till
PBsve426_46:45	december	NP(NP)	december
PBsve426_46:46	two	CD(CD)	two
PBsve426_46:47	thousand	CD(CD)	thousand
PBsve426_46:48	and	CC(CC)	and
PBsve426_46:49	three	CD(CD)	three
PBsve426_46:50	then	RB(RB)	then
PBsve426_46:51	for	IN(IN)	for
PBsve426_46:52	the	DT(DT)	the
PBsve426_46:53	whole	JJ(JJ)	whole
PBsve426_46:54	year	NN(NN)	year
PBsve426_46:55	_0	PA(PA)	
PBsve426_46:56	two	CD(CD)	two
PBsve426_46:57	thousand	CD(CD)	thousand
PBsve426_46:58	four	CD(CD)	four
PBsve426_46:59	_0	PA(PA)	
PBsve426_46:60	two	CD(CD)	two
PBsve426_46:61	thousand	CD(CD)	thousand
PBsve426_46:62	five	CD(CD)	five
PBsve426_46:63	and	CC(CC)	and
PBsve426_46:64	_0	PA(PA)	
PBsve426_46:65	the	DT(DT)	the
PBsve426_46:66	nine	CD(CD)	nine
PBsve426_46:67	months	NNS(NNS)	month
PBsve426_46:68	_0	PA(PA)	
PBsve426_46:69	if	IN(IN)	if
PBsve426_46:70	you	PP(PP)	you
PBsve426_46:71	prolong	VVP(VVP)	prolong
PBsve426_46:72	_1	PA(PA)	

PBsve426_47:1	mhm	RE(RE)	mhm

PBsve426_48:1	and	CC(CC)	and
PBsve426_48:2	then	RB(RB)	then
PBsve426_48:3	an	DT(DT)	a
PBsve426_48:4	open	JJ(JJ)	open
PBsve426_48:5	amount	NN(NN)	amount
PBsve426_48:6	of	IN(IN)	of
PBsve426_48:7	five	CD(CD)	five
PBsve426_48:8	hundred	CD(CD)	hundred
PBsve426_48:9	_0	PA(PA)	
PBsve426_48:10	twenty-five	CD(CD)	twenty-five
PBsve426_48:11	_1	PA(PA)	
PBsve426_48:12	euro	NPS(NPS)	euro

PBsve426_49:1	yes	RE(RE)	yes
PBsve426_49:2	and	CC(CC)	and
PBsve426_49:3	and	CC(CC)	and
PBsve426_49:4	then	RB(RB)	then
PBsve426_49:5	_0	PA(PA)	
PBsve426_49:6	and	CC(CC)	and
PBsve426_49:7	the	DT(DT)	the
PBsve426_49:8	rest	NN(NN)	rest
PBsve426_49:9	from	IN(IN)	from
PBsve426_49:10	the	DT(DT)	the
PBsve426_49:11	fee	NN(NN)	fee

PBsve426_50:1	yes	RE(RE)	yes
PBsve426_50:2	_0	PA(PA)	
PBsve426_50:3	and	CC(CC)	and
PBsve426_50:4	i	PP(PP)	i
PBsve426_50:5	could	MD(MD)	can
PBsve426_50:6	offer	VV(VV)	offer
PBsve426_50:7	you	PP(PP)	you
PBsve426_50:8	_0	PA(PA)	
PBsve426_50:9	if	IN(IN)	if
PBsve426_50:10	you	PP(PP)	you
PBsve426_50:11	sh-	XX(XX)	
PBsve426_50:12	if	IN(IN)	if
PBsve426_50:13	you	PP(PP)	you
PBsve426_50:14	show	VVP(VVP)	show
PBsve426_50:15	me	PP(PP)	i
PBsve426_50:16	the	DT(DT)	the
PBsve426_50:17	confirmation	NN(NN)	confirmation
PBsve426_50:18	that	IN(IN)	that
PBsve426_50:19	you	PP(PP)	you
PBsve426_50:20	paid	VVD(VVD)	pay
PBsve426_50:21	another	DT(DT)	another
PBsve426_50:22	deposit	NN(NN)	deposit
PBsve426_50:23	in	IN(IN)	in
PBsve426_50:24	a_[place1]	NP(NP)	
PBsve426_50:25	_0	PA(PA)	
PBsve426_50:26	then	RB(RB)	then
PBsve426_50:27	i	PP(PP)	i
PBsve426_50:28	could	MD(MD)	can
PBsve426_50:29	use	VV(VV)	use
PBsve426_50:30	_0	PA(PA)	
PBsve426_50:31	the	DT(DT)	the
PBsve426_50:32	deposit	NN(NN)	deposit
PBsve426_50:33	of	IN(IN)	of
PBsve426_50:34	four	CD(CD)	four
PBsve426_50:35	hundred	CD(CD)	hundred
PBsve426_50:36	euro	NPS(NPS)	euro
PBsve426_50:37	for	IN(IN)	for
PBsve426_50:38	part	NN(NN)	part
PBsve426_50:39	of	IN(IN)	of
PBsve426_50:40	the	DT(DT)	the
PBsve426_50:41	administration	NN(NN)	administration
PBsve426_50:42	fee	NN(NN)	fee
PBsve426_50:43	_0	PA(PA)	
PBsve426_50:44	hh	BR(BR)	
PBsve426_50:45	and	CC(CC)	and
PBsve426_50:46	then	RB(RB)	then
PBsve426_50:47	you	PP(PP)	you
PBsve426_50:48	erm	UH(UH)	erm
PBsve426_50:49	_0	PA(PA)	
PBsve426_50:50	just	RB(RB)	just
PBsve426_50:51	would	MD(MD)	will
PBsve426_50:52	have	VHP(VHP)	have
PBsve426_50:53	to	TO(TO)	to
PBsve426_50:54	pay	VV(VV)	pay
PBsve426_50:55	_0	PA(PA)	
PBsve426_50:56	one	CD(CD)	one
PBsve426_50:57	hundred	CD(CD)	hundred
PBsve426_50:58	twenty-five	CD(CD)	twenty-five
PBsve426_50:59	euro	NP(NPS)	euro
PBsve426_50:60	_0	PA(PA)	
PBsve426_50:61	and	CC(CC)	and
PBsve426_50:62	afterwards	RB(RB)	afterwards
PBsve426_50:63	i	PP(PP)	i
PBsve426_50:64	could	MD(MD)	can
PBsve426_50:65	care	VV(VV)	care
PBsve426_50:66	for	IN(IN)	for
PBsve426_50:67	the	DT(DT)	the
PBsve426_50:68	prolongation	NN(NN)	prolongation
PBsve426_50:69	_0	PA(PA)	

PBsve426_51:1	mhm	RE(RE)	mhm

PBsve426_52:1	because	IN(IN)	because
PBsve426_52:2	you	PP(PP)	you
PBsve426_52:3	have	VHP(VHP)	have
PBsve426_52:4	to	TO(TO)	to
PBsve426_52:5	pay	VV(VV)	pay
PBsve426_52:6	for	IN(IN)	for
PBsve426_52:7	all	DT(DT)	all
