POwsd256_1:1	okay	RE(RE)	okay
POwsd256_1:83	yesterday	RB(RB)	yesterday
POwsd256_1:84	we	PP(PP)	we
POwsd256_1:85	discussed	VVD(VVD)	discuss
POwsd256_1:86	_0	PA(PA)	
POwsd256_1:87	er	UH(UH)	er
POwsd256_1:88	precarious	JJ(JJ)	precarious
POwsd256_1:89	working	JJ(JJ)	working
POwsd256_1:90	conditions	NNS(NNS)	condition
POwsd256_1:91	of	IN(IN)	of
POwsd256_1:92	young	JJ(JJ)	young
POwsd256_1:93	people	NNS(NNS)	people
POwsd256_1:94	and	CC(CC)	and
POwsd256_1:95	_0	PA(PA)	
POwsd256_1:96	er	UH(UH)	er
POwsd256_1:97	_0	PA(PA)	
POwsd256_1:98	what	WP(WP)	what
POwsd256_1:99	youth	NNS(NNS)	youth
POwsd256_1:100	organizations	NNS(NNS)	organization
POwsd256_1:101	are	VBP(VBP)	be
POwsd256_1:102	doing	VVG(VVG)	do
POwsd256_1:103	can	MD(MD)	can
POwsd256_1:104	do	VV(VV)	do
POwsd256_1:105	_0	PA(PA)	
POwsd256_1:106	er	UH(UH)	er
POwsd256_1:107	to	TO(TO)	to
POwsd256_1:108	to	TO(TO)	to
POwsd256_1:109	address	VV(VV)	address
POwsd256_1:110	the	DT(DT)	the
POwsd256_1:111	_0	PA(PA)	
POwsd256_1:112	to	TO(TO)	to
POwsd256_1:113	address	VV(VV)	address
POwsd256_1:114	the	DT(DT)	the
POwsd256_1:115	issue	NN(NN)	issue
POwsd256_1:116	er	UH(UH)	er
POwsd256_1:117	_0	PA(PA)	
POwsd256_1:118	also	RB(RB)	also
POwsd256_1:119	w-	XX(XX)	
POwsd256_1:120	we	PP(PP)	we
POwsd256_1:121	also	RB(RB)	also
POwsd256_1:122	dealt	VVD(VVD)	deal
POwsd256_1:123	with	IN(IN)	with
POwsd256_1:124	er	UH(UH)	er
POwsd256_1:125	_0	PA(PA)	
POwsd256_1:126	discrimination	NN(NN)	discrimination
POwsd256_1:127	discrimination	NN(NN)	discrimination
POwsd256_1:128	_0	PA(PA)	
POwsd256_1:129	of	IN(IN)	of
POwsd256_1:130	young	JJ(JJ)	young
POwsd256_1:131	people	NNS(NNS)	people
POwsd256_1:132	and	CC(CC)	and
POwsd256_1:133	also	RB(RB)	also
POwsd256_1:134	xxx	UNI(UNI)	
POwsd256_1:135	discrimination	NN(NN)	discrimination
POwsd256_1:136	base	VVP(VVP)	base
POwsd256_1:137	on	IN(IN)	on
POwsd256_1:138	er	UH(UH)	er
POwsd256_1:139	_1	PA(PA)	
POwsd256_1:140	er	UH(UH)	er
POwsd256_1:141	_0	PA(PA)	
POwsd256_1:142	on	IN(IN)	on
POwsd256_1:143	other	JJ(JJ)	other
POwsd256_1:144	erm	UH(UH)	erm
POwsd256_1:145	_1	PA(PA)	
POwsd256_1:146	erm	UH(UH)	erm
POwsd256_1:147	_1	PA(PA)	
POwsd256_1:148	on	IN(IN)	on
POwsd256_1:149	other	JJ(JJ)	other
POwsd256_1:150	issues	NNS(NNS)	issue
POwsd256_1:151	_0	PA(PA)	
POwsd256_1:152	erm	UH(UH)	erm
POwsd256_1:153	today	RB(RB)	today
POwsd256_1:154	the	DT(DT)	the
POwsd256_1:155	_0	PA(PA)	
POwsd256_1:156	er	UH(UH)	er
POwsd256_1:157	the	DT(DT)	the
POwsd256_1:158	discussion	NN(NN)	discussion
POwsd256_1:159	this	DT(DT)	this
POwsd256_1:160	morning	NN(NN)	morning
POwsd256_1:161	on	IN(IN)	on
POwsd256_1:162	the	DT(DT)	the
POwsd256_1:163	youth	NN(NN)	youth
POwsd256_1:164	pact	NN(NN)	pact
POwsd256_1:165	_0	PA(PA)	
POwsd256_1:166	was	VBD(VBD)	be
POwsd256_1:167	a	RB(RB)	a
POwsd256_1:168	bit	RB(RB)	bit
POwsd256_1:169	mo-	XX(XX)	
POwsd256_1:170	was	VBD(VBD)	be
POwsd256_1:171	more	RBR(RBR)	more
POwsd256_1:172	er	UH(UH)	er
POwsd256_1:173	_1	PA(PA)	
POwsd256_1:174	a	DT(DT)	a
POwsd256_1:175	discussion	NN(NN)	discussion
POwsd256_1:176	on	IN(IN)	on
POwsd256_1:177	on	IN(IN)	on
POwsd256_1:178	_0	PA(PA)	
POwsd256_1:179	policy	NN(NN)	policy
POwsd256_1:180	development	NN(NN)	development
POwsd256_1:181	and	CC(CC)	and
POwsd256_1:182	politic	JJ(JJ)	politic
POwsd256_1:183	coordination	NN(NN)	coordination
POwsd256_1:184	erm	UH(UH)	erm
POwsd256_1:185	_0	PA(PA)	
POwsd256_1:186	from	IN(IN)	from
POwsd256_1:187	_0	PA(PA)	
POwsd256_1:188	we	PP(PP)	we
POwsd256_1:189	heard	VVD(VVD)	hear
POwsd256_1:190	what	WP(WP)	what
POwsd256_1:191	er	UH(UH)	er
POwsd256_1:192	_0	PA(PA)	
POwsd256_1:193	the	DT(DT)	the
POwsd256_1:194	people	NNS(NNS)	people
POwsd256_1:195	from	IN(IN)	from
POwsd256_1:196	the	DT(DT)	the
POwsd256_1:197	different	JJ(JJ)	different
POwsd256_1:198	member	NNS(NNS)	member
POwsd256_1:199	states	NNS(NNS)	state
POwsd256_1:200	er	UH(UH)	er
POwsd256_1:201	were	VBD(VBD)	be
POwsd256_1:202	saying	VVG(VVG)	say
POwsd256_1:203	_0	PA(PA)	
POwsd256_1:204	er	UH(UH)	er
POwsd256_1:205	_0	PA(PA)	
POwsd256_1:206	how	WRB(WRB)	how
POwsd256_1:207	they	PP(PP)	they
POwsd256_1:208	were	VBD(VBD)	be
POwsd256_1:209	trying	VVG(VVG)	try
POwsd256_1:210	to	TO(TO)	to
POwsd256_1:211	_0	PA(PA)	
POwsd256_1:212	bring	VV(VV)	bring
POwsd256_1:213	people	NNS(NNS)	people
POwsd256_1:214	from	IN(IN)	from
POwsd256_1:215	the	DT(DT)	the
POwsd256_1:216	different	JJ(JJ)	different
POwsd256_1:217	departments	NNS(NNS)	department
POwsd256_1:218	together	RB(RB)	together
POwsd256_1:219	_0	PA(PA)	
POwsd256_1:220	er	UH(UH)	er
POwsd256_1:221	involving	VVG(VVG)	involve
POwsd256_1:222	or	CC(CC)	or
POwsd256_1:223	_0	PA(PA)	
POwsd256_1:224	more	RB(RB)	more
POwsd256_1:225	or	RB(RB)	or
POwsd256_1:226	less	RB(RB)	less
POwsd256_1:227	_0	PA(PA)	
POwsd256_1:228	er	UH(UH)	er
POwsd256_1:229	youth	NNS(NNS)	youth
POwsd256_1:230	organizations	NNS(NNS)	organization
POwsd256_1:231	in	IN(IN)	in
POwsd256_1:232	the	DT(DT)	the
POwsd256_1:233	process	NN(NN)	process
POwsd256_1:234	erm	UH(UH)	erm
POwsd256_1:235	_1	PA(PA)	
POwsd256_1:236	and	CC(CC)	and
POwsd256_1:237	also	RB(RB)	also
POwsd256_1:238	it	PP(PP)	it
POwsd256_1:239	's	VBS(VBS)	be
POwsd256_1:240	the	DT(DT)	the
POwsd256_1:241	_0	PA(PA)	
POwsd256_1:242	from	IN(IN)	from
POwsd256_1:243	er	UH(UH)	er
POwsd256_1:244	a_[firstname3]	NP(NP)	
POwsd256_1:245	a_[lastname3]	NP(NP)	
POwsd256_1:246	european	NP(NP)	european
POwsd256_1:247	commission	NP(NP)	commission
POwsd256_1:248	_0	PA(PA)	
POwsd256_1:249	we	PP(PP)	we
POwsd256_1:250	heard	VVD(VVD)	hear
POwsd256_1:251	how	WRB(WRB)	how
POwsd256_1:252	the	DT(DT)	the
POwsd256_1:253	_0	PA(PA)	
POwsd256_1:254	commission	NN(NN)	commission
POwsd256_1:255	was	VBD(VBD)	be
POwsd256_1:256	trying	VVG(VVG)	try
POwsd256_1:257	to	TO(TO)	to
POwsd256_1:258	coordinate	VV(VV)	coordinate
POwsd256_1:259	_0	PA(PA)	
POwsd256_1:260	er	UH(UH)	er
POwsd256_1:261	_1	PA(PA)	
POwsd256_1:262	this	DT(DT)	this
POwsd256_1:263	whole	JJ(JJ)	whole
POwsd256_1:264	effort	NN(NN)	effort
POwsd256_1:265	er	UH(UH)	er
POwsd256_1:266	_0	PA(PA)	
POwsd256_1:267	from	IN(IN)	from
POwsd256_1:268	brussels	NP(NP)	brussels
POwsd256_1:269	_0	PA(PA)	
POwsd256_1:270	erm	UH(UH)	erm
POwsd256_1:271	_1	PA(PA)	
POwsd256_1:272	maybe	RB(RB)	maybe
POwsd256_1:273	first	RB(RB)	first
POwsd256_1:274	er	UH(UH)	er
POwsd256_1:275	_0	PA(PA)	
POwsd256_1:276	like	IN(IN)	like
POwsd256_1:277	yesterday	RB(RB)	yesterday
POwsd256_1:278	we	PP(PP)	we
POwsd256_1:279	can	MD(MD)	can
POwsd256_1:280	start	VV(VV)	start
POwsd256_1:281	with	IN(IN)	with
POwsd256_1:282	a	DT(DT)	a
POwsd256_1:283	round	NN(NN)	round
POwsd256_1:284	of	IN(IN)	of
POwsd256_1:285	_0	PA(PA)	
POwsd256_1:286	let	VV(VV)	let
POwsd256_1:287	's	PP(PP)	we
POwsd256_1:288	say	VV(VV)	say
POwsd256_1:289	impressions	NNS(NNS)	impression
POwsd256_1:290	from	IN(IN)	from
POwsd256_1:291	the	DT(DT)	the
POwsd256_1:292	morning	NN(NN)	morning
POwsd256_1:293	erm	UH(UH)	erm
POwsd256_1:294	_0	PA(PA)	
POwsd256_1:295	er	UH(UH)	er
POwsd256_1:296	because	IN(IN)	because
POwsd256_1:297	we	PP(PP)	we
POwsd256_1:298	have	VHP(VHP)	have
POwsd256_1:299	only	RB(RB)	only
POwsd256_1:300	_0	PA(PA)	
POwsd256_1:301	er	UH(UH)	er
POwsd256_1:302	_0	PA(PA)	
POwsd256_1:303	a	DT(DT)	a
POwsd256_1:304	limited	JJ(JJ)	limited
POwsd256_1:305	amount	NN(NN)	amount
POwsd256_1:306	of	IN(IN)	of
POwsd256_1:307	time	NN(NN)	time
POwsd256_1:308	trying	VVG(VVG)	try
POwsd256_1:309	to	TO(TO)	to
POwsd256_1:310	be	VB(VB)	be
POwsd256_1:311	concise	JJ(JJ)	concise
POwsd256_1:312	and	CC(CC)	and
POwsd256_1:313	what	WP(WP)	what
POwsd256_1:314	is	VBZ(VBZ)	be
POwsd256_1:315	_0	PA(PA)	
POwsd256_1:316	what	WP(WP)	what
POwsd256_1:317	would	MD(MD)	will
POwsd256_1:318	you	PP(PP)	you
POwsd256_1:319	think	VV(VV)	think
POwsd256_1:320	is	VBZ(VBZ)	be
POwsd256_1:321	the	DT(DT)	the
POwsd256_1:322	let	VV(VV)	let
POwsd256_1:323	's	PP(PP)	we
POwsd256_1:324	say	VV(VV)	say
POwsd256_1:325	the	DT(DT)	the
POwsd256_1:326	most	RBS(RBS)	most
POwsd256_1:327	imp-	XX(XX)	
POwsd256_1:328	er	UH(UH)	er
POwsd256_1:329	what	WP(WP)	what
POwsd256_1:330	did	VVD(VVD)	do
POwsd256_1:331	you	PP(PP)	you
POwsd256_1:332	remember	VV(VV)	remember
POwsd256_1:333	from	IN(IN)	from
POwsd256_1:334	the	DT(DT)	the
POwsd256_1:335	morning	NN(NN)	morning
POwsd256_1:336	what	WP(WP)	what
POwsd256_1:337	er	UH(UH)	er
POwsd256_1:338	_0	PA(PA)	
POwsd256_1:339	what	WP(WP)	what
POwsd256_1:340	was	VBD(VBD)	be
POwsd256_1:341	the	DT(DT)	the
POwsd256_1:342	most	RBS(RBS)	most
POwsd256_1:343	significant	JJ(JJ)	significant
POwsd256_1:344	thing	NN(NN)	thing
POwsd256_1:345	that	PRE(PRE)	that
POwsd256_1:346	you	PP(PP)	you
POwsd256_1:347	would	MD(MD)	will
POwsd256_1:348	also	RB(RB)	also
POwsd256_1:349	like	VV(VV)	like
POwsd256_1:350	to	TO(TO)	to
POwsd256_1:351	take	VV(VV)	take
POwsd256_1:352	up	RP(RP)	up
POwsd256_1:353	_0	PA(PA)	
POwsd256_1:354	in	IN(IN)	in
POwsd256_1:355	the	DT(DT)	the
POwsd256_1:356	discussion	NN(NN)	discussion
POwsd256_1:357	this	DT(DT)	this
POwsd256_1:358	afternoon	NN(NN)	afternoon
POwsd256_1:359	this	DT(DT)	this
POwsd256_1:360	is	VBZ(VBZ)	be
POwsd256_1:361	important	JJ(JJ)	important
POwsd256_1:362	things	NNS(NNS)	thing
POwsd256_1:363	that	PRE(PRE)	that
POwsd256_1:364	you	PP(PP)	you
POwsd256_1:365	think	VVP(VVP)	think
POwsd256_1:366	we	PP(PP)	we
POwsd256_1:367	should	MD(MD)	shall
POwsd256_1:368	_1	PA(PA)	

POwsd256_2:1	mhm	RE(RE)	mhm

POwsd256_3:1	incorporate	VV(VV)	incorporate
POwsd256_3:2	in	IN(IN)	in
POwsd256_3:3	our	PP$(PP$)	we
POwsd256_3:4	discussions	NNS(NNS)	discussion
POwsd256_3:5	now	RB(RB)	now
POwsd256_3:6	_0	PA(PA)	

POwsd256_4:1	mhm	RE(RE)	mhm

POwsd256_5:1	erm	UH(UH)	erm
POwsd256_5:2	_0	PA(PA)	
POwsd256_5:3	i	PP(PP)	i
POwsd256_5:4	give	VVP(VVP)	give
POwsd256_5:5	you	PP(PP)	you
POwsd256_5:6	a	DT(DT)	a
POwsd256_5:7	few	JJ(JJ)	few
POwsd256_5:8	seconds	NNS(NNS)	second
POwsd256_5:9	to	TO(TO)	to
POwsd256_5:10	think	VV(VV)	think
POwsd256_5:11	about	IN(IN)	about
POwsd256_5:12	it	PP(PP)	it
POwsd256_5:13	and	CC(CC)	and
POwsd256_5:14	then	RB(RB)	then
POwsd256_5:15	_1	PA(PA)	
POwsd256_5:16	this	DT(DT)	this
POwsd256_5:17	_2	PA(PA)	
POwsd256_5:18	somebody	NN(NN)	somebody
POwsd256_5:19	already	RB(RB)	already
POwsd256_5:20	_1	PA(PA)	
POwsd256_5:21	came	VVD(VVD)	come
POwsd256_5:22	up	RP(RP)	up
POwsd256_5:23	with	IN(IN)	with
POwsd256_5:24	er	UH(UH)	er
POwsd256_5:25	_0	PA(PA)	
POwsd256_5:26	a	DT(DT)	a
POwsd256_5:27	few	JJ(JJ)	few
POwsd256_5:28	ideas	NNS(NNS)	idea
POwsd256_5:29	_11	PA(PA)	

POwsd256_6:1	i	PP(PP)	i
POwsd256_6:2	have	VHP(VHP)	have
POwsd256_6:3	er	UH(UH)	er
POwsd256_6:4	for	IN(IN)	for
POwsd256_6:5	me	PP(PP)	i
POwsd256_6:6	if	IN(IN)	if
POwsd256_6:7	i	PP(PP)	i
POwsd256_6:8	@	LA(LA)	
POwsd256_6:9	@	LA(LA)	
POwsd256_6:10	start	VV(VV)	start
POwsd256_6:11	_0	PA(PA)	

POwsd256_7:1	yes	RE(RE)	yes

POwsd256_8:1	erm	UH(UH)	erm
POwsd256_8:2	_3	PA(PA)	
POwsd256_8:3	the	DT(DT)	the
POwsd256_8:4	er	UH(UH)	er
POwsd256_8:5	_0	PA(PA)	
POwsd256_8:6	really	RB(RB)	really
POwsd256_8:7	important	JJ(JJ)	important
POwsd256_8:8	thought	NN(NN)	thought
POwsd256_8:9	that	PRE(PRE)	that
POwsd256_8:10	was	VBD(VBD)	be
POwsd256_8:11	mentioned	VVN(VVN)	mention
POwsd256_8:12	_0	PA(PA)	
POwsd256_8:13	er	UH(UH)	er
POwsd256_8:14	was	VBD(VBD)	be
POwsd256_8:15	that	IN(IN)	that
POwsd256_8:16	erm	UH(UH)	erm
POwsd256_8:17	_0	PA(PA)	
POwsd256_8:18	young	JJ(JJ)	young
POwsd256_8:19	people	NNS(NNS)	people
POwsd256_8:20	are	VBP(VBP)	be
POwsd256_8:21	_0	PA(PA)	
POwsd256_8:22	taught	VVN(VVN)	teach
POwsd256_8:23	at	IN(IN)	at
POwsd256_8:24	schools	NNS(NNS)	school
POwsd256_8:25	and	CC(CC)	and
POwsd256_8:26	perhaps	RB(RB)	perhaps
POwsd256_8:27	in	IN(IN)	in
POwsd256_8:28	organizations	NNS(NNS)	organization
POwsd256_8:29	a	DT(DT)	a
POwsd256_8:30	lot	NN(NN)	lot
POwsd256_8:31	of	IN(IN)	of
POwsd256_8:32	_0	PA(PA)	
POwsd256_8:33	important	JJ(JJ)	important
POwsd256_8:34	_0	PA(PA)	
POwsd256_8:35	knowledge	NN(NN)	knowledge
POwsd256_8:36	_0	PA(PA)	
POwsd256_8:37	er	UH(UH)	er
POwsd256_8:38	but	CC(CC)	but
POwsd256_8:39	then	RB(RB)	then
POwsd256_8:40	_0	PA(PA)	
POwsd256_8:41	er	UH(UH)	er
POwsd256_8:42	nobody	NN(NN)	nobody
POwsd256_8:43	t-	XX(XX)	
POwsd256_8:44	teach	V(VVZ)	teach
POwsd256_8:45	how	WRB(WRB)	how
POwsd256_8:46	to	TO(TO)	to
POwsd256_8:47	_0	PA(PA)	
POwsd256_8:48	how	WRB(WRB)	how
POwsd256_8:49	to	TO(TO)	to
POwsd256_8:50	work	VV(VV)	work
POwsd256_8:51	how	WRB(WRB)	how
POwsd256_8:52	to	TO(TO)	to
POwsd256_8:53	_0	PA(PA)	
POwsd256_8:54	get	VV(VV)	get
POwsd256_8:55	employed	VVN(VVN)	employ
POwsd256_8:56	_0	PA(PA)	
POwsd256_8:57	er	UH(UH)	er
POwsd256_8:58	so	DM(DM)	so
POwsd256_8:59	perhaps	RB(RB)	perhaps
POwsd256_8:60	this	DT(DT)	this
POwsd256_8:61	this	DT(DT)	this
POwsd256_8:62	would	MD(MD)	will
POwsd256_8:63	be	VB(VB)	be
POwsd256_8:64	er	UH(UH)	er
POwsd256_8:65	the	DT(DT)	the
POwsd256_8:66	direction	NN(NN)	direction
POwsd256_8:67	_0	PA(PA)	
POwsd256_8:68	of	IN(IN)	of
POwsd256_8:69	putting	VVG(VVG)	put
POwsd256_8:70	this	DT(DT)	this
POwsd256_8:71	area	NN(NN)	area
POwsd256_8:72	er	UH(UH)	er
POwsd256_8:73	because	IN(IN)	because
POwsd256_8:74	now	RB(RB)	now
POwsd256_8:75	the	DT(DT)	the
POwsd256_8:76	s_ngos	NNS(NNS)	s_ngos
POwsd256_8:77	do	VVP(VVP)	do
POwsd256_8:78	it	PP(PP)	it
POwsd256_8:79	_0	PA(PA)	
POwsd256_8:80	help	VVP(VVP)	help
POwsd256_8:81	to	IN(IN)	to
POwsd256_8:82	young	JJ(JJ)	young
POwsd256_8:83	people	NNS(NNS)	people
POwsd256_8:84	to	TO(TO)	to
POwsd256_8:85	employ	VV(VV)	employ
POwsd256_8:86	@	LA(LA)	
POwsd256_8:87	_0	PA(PA)	
POwsd256_8:88	er	UH(UH)	er
POwsd256_8:89	er	UH(UH)	er
POwsd256_8:90	so	DM(DM)	so
POwsd256_8:91	er	UH(UH)	er
POwsd256_8:92	perhaps	RB(RB)	perhaps
POwsd256_8:93	this	DT(DT)	this
POwsd256_8:94	direction	NN(NN)	direction
POwsd256_8:95	could	MD(MD)	can
POwsd256_8:96	be	VB(VB)	be
POwsd256_8:97	_0	PA(PA)	
POwsd256_8:98	er	UH(UH)	er
POwsd256_8:99	searched	VVN(VVN)	search
POwsd256_8:100	how	WRB(WRB)	how
POwsd256_8:101	to	TO(TO)	to
POwsd256_8:102	_0	PA(PA)	
POwsd256_8:103	er	UH(UH)	er
POwsd256_8:104	bring	VV(VV)	bring
POwsd256_8:105	this	DT(DT)	this
POwsd256_8:106	topic	NN(NN)	topic
POwsd256_8:107	_0	PA(PA)	
POwsd256_8:108	to	IN(IN)	to
POwsd256_8:109	_0	PA(PA)	
POwsd256_8:110	schools	NNS(NNS)	school
POwsd256_8:111	to	IN(IN)	to
POwsd256_8:112	to	IN(IN)	to
POwsd256_8:113	formal	JJ(JJ)	formal
POwsd256_8:114	education	NN(NN)	education
POwsd256_8:115	system	NN(NN)	system
POwsd256_8:116	_2	PA(PA)	

POwsd256_9:1	mhm	RE(RE)	mhm

POwsd256_10:1	that	DT(DT)	that
POwsd256_10:2	's	VBS(VBS)	be
POwsd256_10:3	it	PP(PP)	it
POwsd256_10:4	_7	PA(PA)	

POwsd256_11:1	yes	RE(RE)	yes

POwsd256_12:1	er	UH(UH)	er

POwsd256_13:1	to	TO(TO)	to
POwsd256_13:2	to	TO(TO)	to
POwsd256_13:3	teach	VV(VV)	teach
POwsd256_13:4	children	NNS(NNS)	child
POwsd256_13:5	to	TO(TO)	to
POwsd256_13:6	_0	PA(PA)	
POwsd256_13:7	children	NNS(NNS)	child
POwsd256_13:8	and	CC(CC)	and
POwsd256_13:9	youth	NN(NN)	youth
POwsd256_13:10	to	TO(TO)	to
POwsd256_13:11	_0	PA(PA)	
POwsd256_13:12	er	UH(UH)	er
POwsd256_13:13	be	VB(VB)	be
POwsd256_13:14	workers	NNS(NNS)	worker
POwsd256_13:15	and	CC(CC)	and
POwsd256_13:16	to	TO(TO)	to
POwsd256_13:17	become	VV(VV)	become
POwsd256_13:18	workers	NNS(NNS)	worker
POwsd256_13:19	_0	PA(PA)	
POwsd256_13:20	and	CC(CC)	and
POwsd256_13:21	employers	NNS(NNS)	employer
POwsd256_13:22	employers	NNS(NNS)	employer
POwsd256_13:23	employees	NNS(NNS)	employee
POwsd256_13:24	okay	RE(RE)	okay
POwsd256_13:25	so	DM(DM)	so
POwsd256_13:26	the	DT(DT)	the
POwsd256_13:27	wrong	JJ(JJ)	wrong
POwsd256_13:28	words	NNS(NNS)	word

POwsd256_14:1	@@@	LA(LA)	

POwsd256_15:1	employees	NNS(NNS)	employee
POwsd256_15:2	@	LA(LA)	
POwsd256_15:3	_9	PA(PA)	

POwsd256_16:1	can	MD(MD)	can
POwsd256_16:2	i	PP(PP)	i
POwsd256_16:3	translate	VV(VV)	translate
POwsd256_16:4	this	DT(DT)	this
POwsd256_16:5	as	IN(IN)	as
POwsd256_16:6	how	WRB(WRB)	how
POwsd256_16:7	_0	PA(PA)	
POwsd256_16:8	can	MD(MD)	can
POwsd256_16:9	the	DT(DT)	the
POwsd256_16:10	education	NN(NN)	education
POwsd256_16:11	system	NN(NN)	system
POwsd256_16:12	contribute	VV(VV)	contribute
POwsd256_16:13	to	IN(IN)	to
POwsd256_16:14	_0	PA(PA)	
POwsd256_16:15	employment	NN(NN)	employment
POwsd256_16:16	opportunities	NNS(NNS)	opportunity
POwsd256_16:17	for	IN(IN)	for
POwsd256_16:18	young	JJ(JJ)	young
POwsd256_16:19	people	NNS(NNS)	people
POwsd256_16:20	or	CC(CC)	or

POwsd256_17:1	yeah	RE(RE)	yeah
POwsd256_17:2	but	CC(CC)	but
POwsd256_17:3	but	CC(CC)	but
POwsd256_17:4	er	UH(UH)	er
POwsd256_17:5	very	RB(RB)	very
POwsd256_17:6	_0	PA(PA)	
POwsd256_17:7	wide	JJ(JJ)	wide
POwsd256_17:8	widely	RB(RB)	widely
POwsd256_17:9	understood	VVN(JJ)	understand
POwsd256_17:10	educational	JJ(JJ)	educational
POwsd256_17:11	system	NN(NN)	system
POwsd256_17:12	_0	PA(PA)	
POwsd256_17:13	formal	JJ(JJ)	formal
POwsd256_17:14	and	CC(CC)	and
POwsd256_17:15	informal	JJ(JJ)	informal
POwsd256_17:16	_0	PA(PA)	
POwsd256_17:17	but	CC(CC)	but
POwsd256_17:18	_0	PA(PA)	

POwsd256_18:1	okay	RE(RE)	okay
POwsd256_18:2	_1	PA(PA)	

POwsd256_19:1	also	RB(RB)	also
POwsd256_19:2	with	IN(IN)	with
POwsd256_19:3	stress	NN(NN)	stress
POwsd256_19:4	on	IN(IN)	on
POwsd256_19:5	formal	JJ(JJ)	formal
POwsd256_19:6	_5	PA(PA)	
POwsd256_19:7	and	CC(CC)	and
POwsd256_19:8	p_non-formal	PVC(JJ)	
POwsd256_19:9	@	LA(LA)	
POwsd256_19:10	_0	PA(PA)	
POwsd256_19:11	let	VV(VV)	let
POwsd256_19:12	's	PP(PP)	we
POwsd256_19:13	say	VV(VV)	say

POwsd256_20:1	er	UH(UH)	er
POwsd256_20:2	_20	PA(PA)	
POwsd256_20:3	er	UH(UH)	er
POwsd256_20:4	somebody	NN(NN)	somebody
POwsd256_20:5	else	RB(RB)	else
POwsd256_20:6	_1	PA(PA)	
POwsd256_20:7	yeah	RE(RE)	yeah

