PBpan25_1:1	good	FI(FI)	good
PBpan25_3:241	a_[S4/last]	NP(NP)	
PBpan25_3:242	er	UH(UH)	er
PBpan25_3:243	he	PP(PP)	he
PBpan25_3:244	is	VBZ(VBZ)	be
PBpan25_3:245	er	UH(UH)	er
PBpan25_3:246	p_vice-governor	PVC(NN)	
PBpan25_3:247	of	IN(IN)	of
PBpan25_3:248	the	DT(DT)	the
PBpan25_3:249	a_[org1]	NP(NP)	
PBpan25_3:250	of	IN(IN)	of
PBpan25_3:251	er	UH(UH)	er
PBpan25_3:252	the	DT(DT)	the
PBpan25_3:253	a_[place6]	NP(NP)	
PBpan25_3:254	_0	PA(PA)	
PBpan25_3:255	he	PP(PP)	he
PBpan25_3:256	got	VVD(VVD)	get
PBpan25_3:257	the	DT(DT)	the
PBpan25_3:258	degrees	NNS(NNS)	degree
PBpan25_3:259	from	IN(IN)	from
PBpan25_3:260	the	DT(DT)	the
PBpan25_3:261	the	DT(DT)	the
PBpan25_3:262	university	NN(NN)	university
PBpan25_3:263	of	IN(IN)	of
PBpan25_3:264	economics	NN(NN)	economics
PBpan25_3:265	in	IN(IN)	in
PBpan25_3:266	a_[place5]	NP(NP)	
PBpan25_3:267	he	PP(PP)	he
PBpan25_3:268	fulfilled	VVD(VVD)	fulfil
PBpan25_3:269	different	JJ(JJ)	different
PBpan25_3:270	economic	JJ(JJ)	economic
PBpan25_3:271	positions	NNS(NNS)	position
PBpan25_3:272	_0	PA(PA)	
PBpan25_3:273	xxx	UNI(UNI)	
PBpan25_3:274	lecturer	NN(NN)	lecturer
PBpan25_3:275	the	DT(DT)	the
PBpan25_3:276	university	NN(NN)	university
PBpan25_3:277	of	IN(IN)	of
PBpan25_3:278	the	DT(DT)	the
PBpan25_3:279	a_[name6]	NP(NP)	
PBpan25_3:280	university	NN(NN)	university
PBpan25_3:281	and	CC(CC)	and
PBpan25_3:282	bo-	XX(XX)	
PBpan25_3:283	and	CC(CC)	and
PBpan25_3:284	xx	UNI(UNI)	
PBpan25_3:285	member	NN(NN)	member
PBpan25_3:286	of	IN(IN)	of
PBpan25_3:287	the	DT(DT)	the
PBpan25_3:288	_0	PA(PA)	
PBpan25_3:289	scientific	JJ(JJ)	scientific
PBpan25_3:290	and	CC(CC)	and
PBpan25_3:291	administrative	JJ(JJ)	administrative
PBpan25_3:292	board	NN(NN)	board
PBpan25_3:293	of	IN(IN)	of
PBpan25_3:294	this	DT(DT)	this
PBpan25_3:295	a_[name6]	NP(NP)	
PBpan25_3:296	university	NN(NN)	university
PBpan25_3:297	as	RB(RB)	as
PBpan25_3:298	well	RB(RB)	well
PBpan25_3:299	_0	PA(PA)	
PBpan25_3:300	he	PP(PP)	he
PBpan25_3:301	used	VVD(VVD)	use
PBpan25_3:302	to	TO(TO)	to
PBpan25_3:303	be	VB(VB)	be
PBpan25_3:304	an	DT(DT)	a
PBpan25_3:305	adviser	NN(NN)	adviser
PBpan25_3:306	to	IN(IN)	to
PBpan25_3:307	the	DT(DT)	the
PBpan25_3:308	a_[org1]	NP(NP)	
PBpan25_3:309	governor	NN(NN)	governor
PBpan25_3:310	to	IN(IN)	to
PBpan25_3:311	the	DT(DT)	the
PBpan25_3:312	depu-	XX(XX)	
PBpan25_3:313	to	IN(IN)	to
PBpan25_3:314	the	DT(DT)	the
PBpan25_3:315	mini-	XX(XX)	
PBpan25_3:316	to	IN(IN)	to
PBpan25_3:317	the	DT(DT)	the
PBpan25_3:318	_0	PA(PA)	
PBpan25_3:319	prime	NN(NN)	prime
PBpan25_3:320	minister	NN(NN)	minister
PBpan25_3:321	of	IN(IN)	of
PBpan25_3:322	the	DT(DT)	the
PBpan25_3:323	a_[place6]	NP(NP)	
PBpan25_3:324	and	CC(CC)	and
PBpan25_3:325	_0	PA(PA)	
PBpan25_3:326	he	PP(PP)	he
PBpan25_3:327	is	VBZ(VBZ)	be
PBpan25_3:328	er	UH(UH)	er
PBpan25_3:329	_1	PA(PA)	
PBpan25_3:330	p_vice-governor	PVC(NN)	
PBpan25_3:331	of	IN(IN)	of
PBpan25_3:332	the	DT(DT)	the
PBpan25_3:333	a_[org1]	NP(NP)	
PBpan25_3:334	_0	PA(PA)	
PBpan25_3:335	er	UH(UH)	er
PBpan25_3:336	since	IN(IN)	since
PBpan25_3:337	nineteen	CD(CD)	nineteen
PBpan25_3:338	ninety-nine	CD(CD)	ninety-nine
PBpan25_3:339	_0	PA(PA)	
PBpan25_3:340	er	UH(UH)	er
PBpan25_3:341	a_[S5]	NP(NP)	
PBpan25_3:342	a_[S5/last]	NP(NP)	
PBpan25_3:343	who	PRE(PRE)	who
PBpan25_3:344	is	VBZ(VBZ)	be
PBpan25_3:345	deputy	NN(NN)	deputy
PBpan25_3:346	governor	NN(NN)	governor
PBpan25_3:347	of	IN(IN)	of
PBpan25_3:348	the	DT(DT)	the
PBpan25_3:349	er	UH(UH)	er
PBpan25_3:350	a_[place7]	NP(NP)	
PBpan25_3:351	a_[org1]	NP(NP)	
PBpan25_3:352	a_[org1]	NP(NP)	
PBpan25_3:353	of	IN(IN)	of
PBpan25_3:354	a_[place7]	NP(NP)	
PBpan25_3:355	_0	PA(PA)	
PBpan25_3:356	a_[S5]	NP(NP)	
PBpan25_3:357	er	UH(UH)	er
PBpan25_3:358	has	VHZ(VHZ)	have
PBpan25_3:359	studied	VVN(VVN)	study
PBpan25_3:360	extensively	RB(RB)	extensively
PBpan25_3:361	_0	PA(PA)	
PBpan25_3:362	er	UH(UH)	er
PBpan25_3:363	outside	IN(IN)	outside
PBpan25_3:364	er	UH(UH)	er
PBpan25_3:365	and	CC(CC)	and
PBpan25_3:366	inside	IN(IN)	inside
PBpan25_3:367	a_[place7]	NP(NP)	
PBpan25_3:368	he	PP(PP)	he
PBpan25_3:369	got	VVD(VVD)	get
PBpan25_3:370	his	PP$(PP$)	he
PBpan25_3:371	degree	NN(NN)	degree
PBpan25_3:372	from	IN(IN)	from
PBpan25_3:373	er	UH(UH)	er
PBpan25_3:374	from	IN(IN)	from
PBpan25_3:375	the	DT(DT)	the
PBpan25_3:376	s_us	NP(NP)	s_us
PBpan25_3:377	_0	PA(PA)	
PBpan25_3:378	er	UH(UH)	er
PBpan25_3:379	and	CC(CC)	and
PBpan25_3:380	er	UH(UH)	er
PBpan25_3:381	he	PP(PP)	he
PBpan25_3:382	fulfilled	VVD(VVD)	fulfil
PBpan25_3:383	different	JJ(JJ)	different
PBpan25_3:384	senior	JJ(JJ)	senior
PBpan25_3:385	positions	NNS(NNS)	position
PBpan25_3:386	_0	PA(PA)	
PBpan25_3:387	er	UH(UH)	er
PBpan25_3:388	_0	PA(PA)	
PBpan25_3:389	with	IN(IN)	with
PBpan25_3:390	the	DT(DT)	the
PBpan25_3:391	government	NN(NN)	government
PBpan25_3:392	_0	PA(PA)	
PBpan25_3:393	and	CC(CC)	and
PBpan25_3:394	er	UH(UH)	er
PBpan25_3:395	in	IN(IN)	in
PBpan25_3:396	the	DT(DT)	the
PBpan25_3:397	a_[org1]	NP(NP)	
PBpan25_3:398	of	IN(IN)	of
PBpan25_3:399	a_[place7]	NP(NP)	
PBpan25_3:400	as	RB(RB)	as
PBpan25_3:401	well	RB(RB)	well
PBpan25_3:402	_0	PA(PA)	
PBpan25_3:403	er	UH(UH)	er
PBpan25_3:404	he	PP(PP)	he
PBpan25_3:405	he	PP(PP)	he
PBpan25_3:406	is	VBZ(VBZ)	be
PBpan25_3:407	also	RB(RB)	also
PBpan25_3:408	er	UH(UH)	er
PBpan25_3:409	a	DT(DT)	a
PBpan25_3:410	well	RB(RB)	well
PBpan25_3:411	known	JJ(JJ)	known
PBpan25_3:412	er	UH(UH)	er
PBpan25_3:413	_0	PA(PA)	
PBpan25_3:414	er	UH(UH)	er
PBpan25_3:415	academic	NN(NN)	academic
PBpan25_3:416	as	RB(RB)	as
PBpan25_3:417	well	RB(RB)	well
PBpan25_3:418	_0	PA(PA)	
PBpan25_3:419	er	UH(UH)	er
PBpan25_3:420	he	PP(PP)	he
PBpan25_3:421	delivered	VVD(VVD)	deliver
PBpan25_3:422	several	JJ(JJ)	several
PBpan25_3:423	er	UH(UH)	er
PBpan25_3:424	courses	NNS(NNS)	course
PBpan25_3:425	lectures	NNS(NNS)	lecture
PBpan25_3:426	_0	PA(PA)	
PBpan25_3:427	he	PP(PP)	he
PBpan25_3:428	's	VBS(VBS)	be
PBpan25_3:429	still	RB(RB)	still
PBpan25_3:430	teaching	VVG(VVG)	teach
PBpan25_3:431	as	RB(RB)	as
PBpan25_3:432	well	RB(RB)	well
PBpan25_3:433	_0	PA(PA)	
PBpan25_3:434	er	UH(UH)	er
PBpan25_3:435	a_[S6]	NP(NP)	
PBpan25_3:436	a_[S6/last]	NP(NP)	
PBpan25_3:437	who	PRE(PRE)	who
PBpan25_3:438	is	VBZ(VBZ)	be
PBpan25_3:439	the	DT(DT)	the
PBpan25_3:440	managing	VVG(NN)	manage/managing
PBpan25_3:441	director	NN(NN)	director
PBpan25_3:442	_0	PA(PA)	
PBpan25_3:443	er	UH(UH)	er
PBpan25_3:444	and	CC(CC)	and
PBpan25_3:445	head	NN(NN)	head
PBpan25_3:446	of	IN(IN)	of
PBpan25_3:447	the	DT(DT)	the
PBpan25_3:448	xxxx	UNI(UNI)	
PBpan25_3:449	er	UH(UH)	er
PBpan25_3:450	er	UH(UH)	er
PBpan25_3:451	for	IN(IN)	for
PBpan25_3:452	_0	PA(PA)	
PBpan25_3:453	europe	NP(NP)	europe
PBpan25_3:454	_0	PA(PA)	
PBpan25_3:455	er	UH(UH)	er
PBpan25_3:456	in	IN(IN)	in
PBpan25_3:457	a_[org6]	NP(NP)	
PBpan25_3:458	_0	PA(PA)	
PBpan25_3:459	he	PP(PP)	he
PBpan25_3:460	is	VBZ(VBZ)	be
PBpan25_3:461	er	UH(UH)	er
PBpan25_3:462	based	JJ(JJ)	based
PBpan25_3:463	in	IN(IN)	in
PBpan25_3:464	a_[place9]	NP(NP)	
PBpan25_3:465	_0	PA(PA)	
PBpan25_3:466	er	UH(UH)	er
PBpan25_3:467	and	CC(CC)	and
PBpan25_3:468	er	UH(UH)	er
PBpan25_3:469	perhaps	RB(RB)	perhaps
PBpan25_3:470	er	UH(UH)	er
PBpan25_3:471	he	PP(PP)	he
PBpan25_3:472	is	VBZ(VBZ)	be
PBpan25_3:473	dealing	VVG(VVG)	deal
PBpan25_3:474	with	IN(IN)	with
PBpan25_3:475	the	DT(DT)	the
PBpan25_3:476	er	UH(UH)	er
PBpan25_3:477	one	CD(CD)	one
PBpan25_3:478	of	IN(IN)	of
PBpan25_3:479	the	DT(DT)	the
PBpan25_3:480	most	RBS(RBS)	most
PBpan25_3:481	touchy	JJ(JJ)	touchy
PBpan25_3:482	issue	NN(NN)	issue
PBpan25_3:483	would	MD(MD)	will
PBpan25_3:484	be	VB(VB)	be
PBpan25_3:485	the	DT(DT)	the
PBpan25_3:486	assessment	NN(NN)	assessment
PBpan25_3:487	of	IN(IN)	of
PBpan25_3:488	the	DT(DT)	the
PBpan25_3:489	different	JJ(JJ)	different
PBpan25_3:490	er	UH(UH)	er
PBpan25_3:491	_0	PA(PA)	
PBpan25_3:492	country	NN(NN)	country
PBpan25_3:493	ratings	NNS(NNS)	rating
PBpan25_3:494	_0	PA(PA)	
PBpan25_3:495	er	UH(UH)	er
PBpan25_3:496	he	PP(PP)	he
PBpan25_3:497	before	IN(IN)	before
PBpan25_3:498	joining	VVG(VVG)	join
PBpan25_3:499	a_[org6]	NP(NP)	
PBpan25_3:500	x	UNI(UNI)	
PBpan25_3:501	he	PP(PP)	he
PBpan25_3:502	was	VBD(VBD)	be
PBpan25_3:503	working	VVG(VVG)	work
PBpan25_3:504	for	IN(IN)	for
PBpan25_3:505	the	DT(DT)	the
PBpan25_3:506	private	NN(NN)	private
PBpan25_3:507	sector	NN(NN)	sector
PBpan25_3:508	for	IN(IN)	for
PBpan25_3:509	many	JJ(JJ)	many
PBpan25_3:510	years	NNS(NNS)	year
PBpan25_3:511	xxx	UNI(UNI)	
PBpan25_3:512	a_[org7]	NP(NP)	
PBpan25_3:513	_0	PA(PA)	
PBpan25_3:514	so	DM(DM)	so
PBpan25_3:515	he	PP(PP)	he
PBpan25_3:516	gained	VVD(VVD)	gain
PBpan25_3:517	er	UH(UH)	er
PBpan25_3:518	_0	PA(PA)	
PBpan25_3:519	experience	NN(NN)	experience
PBpan25_3:520	_0	PA(PA)	
PBpan25_3:521	er	UH(UH)	er
PBpan25_3:522	_0	PA(PA)	
PBpan25_3:523	over	RB(RB)	over
PBpan25_3:524	there	RB(RB)	there
PBpan25_3:525	as	RB(RB)	as
PBpan25_3:526	well	RB(RB)	well
PBpan25_3:527	_1	PA(PA)	
PBpan25_3:528	a_[S7]	NP(NP)	
PBpan25_3:529	a_[S7/last]	NP(NP)	
PBpan25_3:530	who	PRE(PRE)	who
PBpan25_3:531	is	VBZ(VBZ)	be
PBpan25_3:532	governor	NN(NN)	governor
PBpan25_3:533	of	IN(IN)	of
PBpan25_3:534	the	DT(DT)	the
PBpan25_3:535	_0	PA(PA)	
PBpan25_3:536	a_[place10]	NP(NP)	
PBpan25_3:537	a_[org1]	NP(NP)	
PBpan25_3:538	one	CD(CD)	one
PBpan25_3:539	of	IN(IN)	of
PBpan25_3:540	the	DT(DT)	the
PBpan25_3:541	longest	JJS(JJS)	long
PBpan25_3:542	serving	VVG(NN)/VVG(VVG)	serve/serving
PBpan25_3:543	er	UH(UH)	er
PBpan25_3:544	a_[org1]	NP(NP)	
PBpan25_3:545	governor	NN(NN)	governor
PBpan25_3:546	_0	PA(PA)	
PBpan25_3:547	er	UH(UH)	er
PBpan25_3:548	he	PP(PP)	he
PBpan25_3:549	has	VHZ(VHZ)	have
PBpan25_3:550	gained	VVN(VVN)	gain
PBpan25_3:551	a	DT(DT)	a
PBpan25_3:552	reputation	NN(NN)	reputation
PBpan25_3:553	over	RB(RB)	over
PBpan25_3:554	there	RB(RB)	there
PBpan25_3:555	_0	PA(PA)	
PBpan25_3:556	he	PP(PP)	he
PBpan25_3:557	studied	VVD(VVD)	study
PBpan25_3:558	at	IN(IN)	at
PBpan25_3:559	the	DT(DT)	the
PBpan25_3:560	regional	JJ(JJ)	regional
PBpan25_3:561	technical	JJ(JJ)	technical
PBpan25_3:562	university	NN(NN)	university
PBpan25_3:563	x	UNI(UNI)	
PBpan25_3:564	_0	PA(PA)	
PBpan25_3:565	but	CC(CC)	but
PBpan25_3:566	he	PP(PP)	he
PBpan25_3:567	also	RB(RB)	also
PBpan25_3:568	studied	VVD(VVD)	study
PBpan25_3:569	in	IN(IN)	in
PBpan25_3:570	the	DT(DT)	the
PBpan25_3:571	s_us	NP(NP)	s_us
PBpan25_3:572	_0	PA(PA)	
PBpan25_3:573	er	UH(UH)	er
PBpan25_3:574	he	PP(PP)	he
PBpan25_3:575	fulfilled	VVD(VVD)	fulfil
PBpan25_3:576	different	JJ(JJ)	different
PBpan25_3:577	positions	NNS(NNS)	position
PBpan25_3:578	er	UH(UH)	er
PBpan25_3:579	_0	PA(PA)	
PBpan25_3:580	er	UH(UH)	er
PBpan25_3:581	before	IN(IN)	before
PBpan25_3:582	_0	PA(PA)	
PBpan25_3:583	become	V(V)	become
PBpan25_3:584	became	VVD(VVG)	become
PBpan25_3:585	the	DT(DT)	the
PBpan25_3:586	governor	NN(NN)	governor
PBpan25_3:587	of	IN(IN)	of
PBpan25_3:588	the	DT(DT)	the
PBpan25_3:589	a_[org1]	NP(NP)	
PBpan25_3:590	er	UH(UH)	er
PBpan25_3:591	since	IN(IN)	since
PBpan25_3:592	nineteen	CD(CD)	nineteen
PBpan25_3:593	ninety-two	CD(CD)	ninety-two
PBpan25_3:594	_0	PA(PA)	
PBpan25_3:595	he	PP(PP)	he
PBpan25_3:596	is	VBZ(VBZ)	be
PBpan25_3:597	er	UH(UH)	er
