EDwsd302:1	S1:	 er i'm studying english and spanish and my keywords are literature as well foreign students and amsterdam
EDwsd302:42	S10:	 the beautiful city amsterdam er also i will do my er my master study now european studies erm my interests are european integration modern art and i love dancing and i love laughing
EDwsd302:43	SX-f:	 @
EDwsd302:44	SX-f:	 @@
EDwsd302:45	S4:	 thank you
EDwsd302:46	S11:	 hello to everybody my name is [S11] i come from [place4] from university of [place7] er i already have a degree i- in biotechnical fakultaet from horticulture and now i'm just studying the different direction er called agriculture and my three keywords are beauty friendship and travel
EDwsd302:47	SX-15:	 mhm 
EDwsd302:48	S11:	 yeah 
EDwsd302:49	S15:	 thanks 
EDwsd302:50	S4:	 er anybody xxxx xxx or any have something in mind 
EDwsd302:51	S15:	 xxxxx 
EDwsd302:52	S12:	 i'm [S12] i'm from [place8] [S12] [S12/last] 
EDwsd302:53	SX-f:	 @
EDwsd302:54	S12:	 and er i've studied er i have a licence in theology er master in er classic languages greek and latin and er now i'm at a post-master at the unesco chair department on the intercultural and in- interreligious studies hh three keywords
EDwsd302:55	S4:	 yeah 
EDwsd302:56	S15:	 yeah 
EDwsd302:57	S4:	 three xx some say something about your interests or your personality 
EDwsd302:58	S15:	 habits 
EDwsd302:59	S4:	 habits 
EDwsd302:60	S12:	 er i think that er @@ er i need just one word to define myself which is love 
EDwsd302:61	S4:	 okay 
EDwsd302:62	SS:	 @@@@@@@@
EDwsd302:63	S4:	 thank you @@
EDwsd302:64	S15:	 thank you very much 
EDwsd302:65	SX-7:	 thank you @
EDwsd302:66	S15:	 anyone xxx 
EDwsd302:67	SX-f:	 erm 
EDwsd302:68	S13:	 er my name is [S13] i'm from [org2] in [place9] i study linguistics and i'm also qualified to teach english as a foreign language to adults and i also tutor for spanish and portuguese in [place9] in order to x another language erm three keywords phonetics linguistics and languages 
EDwsd302:69	SS:	 @@@@
EDwsd302:70	S4:	 yes 
EDwsd302:71	S13:	 i'm a bit obsessed with my degree 
EDwsd302:72	S4:	 mhm 
EDwsd302:73	S15:	 yah 
EDwsd302:74	S4:	 erm 
EDwsd302:75	SX-f:	 yeah
EDwsd302:76	S13:	 yeah of course 
EDwsd302:77	SS:	 @@
EDwsd302:78	S14:	 okay hi i'm [S14] i come from [place10] but i'm actually living in [place11] at the moment because i'm doing a master in european studies and i graduated in xxx xx the english and spanish literature and languages so i have kind of that i am interested in literatures and so xxx now at the moment i'm actually studying in german
EDwsd302:79	S15:	 okay 
EDwsd302:80	S14:	 and well that's what i have to say 
EDwsd302:81	S15:	 any keywords hobbies 
EDwsd302:82	S4:	 interests 
EDwsd302:83	S15:	 interests 
EDwsd302:84	S14:	 okay i obviously i've an interest in in european studies or the politics and stuff like about the european union 
EDwsd302:85	S15:	 mhm 
EDwsd302:86	S14:	 otherwise i wouldn't have studied that and er just generally interested it's sports 
EDwsd302:87	S15:	 okay 
EDwsd302:88	SX-f:	 okay 
EDwsd302:89	S14:	 and travel 
EDwsd302:90	S15:	 i think we only have you xxx 
EDwsd302:91	S16:	 yes er @@@ i'm [S16] from [place12] i study law at [place13] university my interests are just as everybody else here interests @@
EDwsd302:92	S17:	 @@
EDwsd302:93	S16:	 for for er research and x european er integrations and so on i like sports i like xx xx yes 
EDwsd302:94	SX-f:	 @@
EDwsd302:95	S4:	 okay 
EDwsd302:96	S18:	 @
EDwsd302:97	SX-14:	 and and a- 
EDwsd302:98	S4:	 and could you also translate the text on your t-shirt or
EDwsd302:99	S16:	 er it's the name of the beer
EDwsd302:100	SS:	 @@@@@@
EDwsd302:101	S4:	 okay 
EDwsd302:102	S16:	 yah is great 
EDwsd302:103	S15:	 okay 
EDwsd302:104	SS:	 @@@
EDwsd302:105	S4:	 okay so it means that xx is great or 
EDwsd302:106	S15:	 yeah something like this 
EDwsd302:107	S12:	 xx 
EDwsd302:108	S16:	 xx @@@
EDwsd302:109	SX-11:	 xx 
EDwsd302:110	S4:	 okay okay thank you very much for introducing yourself i hope this is er quite a good basis for further questions and 
EDwsd302:111	SX-f:	 @@
EDwsd302:112	S4:	 socializing erm but erm for now we have to move on with the goal again 
EDwsd302:113	S15:	 yes
EDwsd302:114	S4:	 and i think [S15] we're going to 
EDwsd302:115	S15:	 okay erm the main goal of the value contest which we're gonna do now is that we in the end have a shared er group of values that this group shares because then we have kind of a connection or cohesion as a group because in the end on saturday some of you will have to give a presentation as a representative of this forum and all the fora will do a presentation and of course we wanna win
EDwsd302:116	S4:	 yeah so there is a prize @
EDwsd302:117	S17:	 @
EDwsd302:118	S15:	 there is a prize but of course it's more important that we get along as a group so also in the discussions i would like to ask you also to erm try to come to a common ground not only in a debate in fight but also trying to understand each other and trying to end up with something which we share because that's important to make a good recommendation of course there is space for different opinions don't get me wrong and in the end in the scenario we will finally make there will be room for different opinions and it's not one thing that everybody has to agree upon i'm just asking to in the process try just to undergo the method because it's for most of you probably a new method which you have never done before we tried it ourselves and it works so it's a little bit creative you have to adjust to the process but in the end it's ver- really nice and everybody opinion will get a place in the final presentation so don't worry about that the value contest which we're gonna do now erm i will erm it's very simple you get together with your neighbor or somebody else in this room no sorry i have to start xxx first the first thing you have to do is you have to write down for yourself five values and i mean erm general values like you said love that might be a value it's more like a human value or a value that you consider important in th- in the society or in your personal life x but it has to be a little bit general
EDwsd302:119	SX-f:	 hm 
EDwsd302:120	S15:	 doesn't have to do anything with our topic at this moment so write down five of your personal values which you find important for life and also important you have to rank them so number one has to be your most important value and number five your less you have five minutes so really try to okay everybody write down their five values or do we need some more time 
EDwsd302:121	S4:	 anybody who hasn't finished yet no
EDwsd302:122	S15:	 no okay perfect okay the thing er you have to do now is you get together with your neighbor or anyone else in this room you pair up and you gonna try together with the ten values you have to make five again so you have to negotiate 
EDwsd302:123	SS:	 @@
EDwsd302:124	S15:	 your five values argument them like why you think this is important in life or why not and come together with five values again in an order of importantcy so try to take five shared values which you both agree upon
EDwsd302:125	SX-12:	 i think we'll manage 
EDwsd302:126	S18:	 shall we do it in threes 
EDwsd302:127	S20:	 hey we can er negotiation in er three group 
EDwsd302:128	SX-f:	 yeah is okay 
EDwsd302:129	S18:	 yeah
EDwsd302:130	SX-f:	 okay 
EDwsd302:131	S18:	 ah all right
EDwsd302:132	SX-f:	 ah okay 
EDwsd302:133	SX-f:	 okay 
EDwsd302:134	S18:	 all right 
EDwsd302:135	S20:	 so could you er write me your values 
EDwsd302:136	S18:	 yeah
EDwsd302:137	SX-f:	 my x 
EDwsd302:138	S18:	 security
EDwsd302:139	S20:	 yeah 
EDwsd302:140	S18:	 second is freedom of mind and opinion third one is justice justice g u s t 
EDwsd302:141	S20:	 oh yeah i see 
EDwsd302:142	S18:	 openness and tolerance
EDwsd302:143	S20:	 yeah
EDwsd302:144	S18:	 and democracy or equality
EDwsd302:145	S20:	 ah ah i see x very small individual but er xx first is love erm 
EDwsd302:146	S18:	 yeah 
EDwsd302:147	S20:	 xx
EDwsd302:148	S18:	 yeah 
EDwsd302:149	S20:	 friends 
EDwsd302:150	S18:	 yeah 
EDwsd302:151	S20:	 culture i think about theater xx xx meeting and traveling i think er some er some contact with people of course 
EDwsd302:152	S18:	 yeah
EDwsd302:153	S20:	 and money and the most important er freedom 
EDwsd302:154	S18:	 what was that 
EDwsd302:155	S20:	 money 
EDwsd302:156	S18:	 many
EDwsd302:157	S20:	 yeah 
EDwsd302:158	S18:	 or money 
EDwsd302:159	S20:	 money 
EDwsd302:160	S18:	 money all right
EDwsd302:161	S20:	 money 
EDwsd302:162	S18:	 money
EDwsd302:163	S20:	 yeah no- x not for me but er for er for i think about er rich rich people not er not er er yeah money yes 
EDwsd302:164	S18:	 all right one do you have six 
EDwsd302:165	S20:	 freedom
EDwsd302:166	S18:	 all right
EDwsd302:167	SX-f:	 all right 
EDwsd302:168	S18:	 i think i understood the concept xx a bit differently 
EDwsd302:169	S20:	 er 
EDwsd302:170	S18:	 i think what we i mean i don't know there is nothing right or wrong but we do have different kind of values 
EDwsd302:171	S20:	 yeah
EDwsd302:172	S18:	 somehow i don't know what they want now
EDwsd302:173	SX-f:	 you ask or 
EDwsd302:174	S18:	 but i don't know what do you think we can i think we could both take freedom because we both have that 
EDwsd302:175	S20:	 er i think that we er first place erm will be 
EDwsd302:176	S18:	 i think we don't have to rank them i think we just have to choose five xx
EDwsd302:177	SX-f:	 okay
EDwsd302:178	S18:	 i'll just ask him [S4] [S4] do we have to rank them as well or do we just have to agree on five 
EDwsd302:179	S4:	 yes yes 
EDwsd302:180	S4:	 you have to merge 
EDwsd302:181	S18:	 yah 
EDwsd302:182	S4:	 and make a new ranking 
EDwsd302:183	S18:	 and make a new ranking and do when you say values is that what do you i mean we obviously understood that a bit differently could friends and democracy be a value or what is 
EDwsd302:184	S4:	 yeah er friendship could be a value or yeah de- democracy could be a value absolutely 
EDwsd302:185	S20:	 haeh because we have so different value i have more individual is more er 
EDwsd302:186	S18:	 general ones 
EDwsd302:187	S20:	 yeah so er what kind 
EDwsd302:188	S4:	 yeah
EDwsd302:189	S20:	 er 
EDwsd302:190	S4:	 well i i i i don't say that this value is better than another one so 
EDwsd302:191	S18:	 xx more general ones or 
EDwsd302:192	S18:	 no definitely not but 
EDwsd302:193	S4:	 so just if if you have very different values yeah somehow you have to find a solution so take t- two of yours and two of yours and negotiate about another one 
EDwsd302:194	S18:	 @@@ all right 
EDwsd302:195	S20:	 okay okay 
EDwsd302:196	S4:	 something like that 
EDwsd302:197	S18:	 great 
EDwsd302:198	S20:	 okay 
EDwsd302:199	S4:	 it's it's it's your it's yeah
EDwsd302:200	S18:	 yeah all right 
EDwsd302:201	S20:	 i have some idea 
EDwsd302:202	S4:	 it's the reflecting a
EDwsd302:203	S20:	 we can er erm write some value er after negotiation 
EDwsd302:204	S4:	 two solution
EDwsd302:205	S18:	 okay thank you 
EDwsd302:206	S20:	 and er write some erm some a small value you know what i er what i mean for example openness
EDwsd302:207	S18:	 yah 
EDwsd302:208	S20:	 i think er about er people openness about er 
EDwsd302:209	S18:	 okay 
EDwsd302:210	S20:	 peer accept yeah exactly 
EDwsd302:211	S18:	 tolerance and 
EDwsd302:212	S20:	 yeah yeah yeah yeah exactly so it's we'll we'll erm more and more er comfortable for us 
EDwsd302:213	S18:	 if what 
EDwsd302:214	S20:	 if we erm write er for example er openness
EDwsd302:215	S18:	 yeah 
EDwsd302:216	S20:	 and we er write er people openness er kind er not rude erm and so and so on
EDwsd302:217	S18:	 exactly exactly
EDwsd302:218	S20:	 okay
EDwsd302:219	S18:	 okay
EDwsd302:220	S20:	 okay
EDwsd302:221	S18:	 i would say we write down five values and then we rank them 
EDwsd302:222	S20:	 okay yes 
EDwsd302:223	S18:	 so we agree that we could take openness in a sense of people being open to others xxxx 
EDwsd302:224	S20:	 yeah yeah yeah yeah yeah 
EDwsd302:225	S18:	 friendly and tolerant and accepting others 
EDwsd302:226	S20:	 exactly
EDwsd302:227	S18:	 all right then we take openness or should we call it is it is the word tolerance better or is o- 
EDwsd302:228	S20:	 oh yes 
EDwsd302:229	S20:	 yeah 
EDwsd302:230	S18:	 yeah all right because tolerance somehow includes being open
EDwsd302:231	S20:	 yeah
EDwsd302:232	S18:	 all right then we have tolerant
EDwsd302:233	S20:	 erm 
EDwsd302:234	S18:	 i think freedom that's something we have both have
EDwsd302:235	S20:	 yes 
EDwsd302:236	S18:	 probably we could we take that
EDwsd302:237	S20:	 i've freedom
EDwsd302:238	S18:	 i think of freedom of choice of opportunity 
EDwsd302:239	S20:	 yah 
EDwsd302:240	S18:	 xxxx 
EDwsd302:241	S20:	 yeah of course we can write 
EDwsd302:242	S18:	 yeah all right 
EDwsd302:243	S20:	 erm maybe on knowledge
EDwsd302:244	S18:	 knowledge
EDwsd302:245	S20:	 yeah
EDwsd302:246	S18:	 probably we can agree that er er er we can 
EDwsd302:247	S15:	 is going okay
EDwsd302:248	S18:	 yeah
EDwsd302:249	S20:	 yeah
EDwsd302:250	S15:	 everything's okay
EDwsd302:251	S18:	 we just have er very different values so we just 
EDwsd302:252	S15:	 but you can also try if for example you have two values which you both don't agree upon but you have something which is a little bit in between or something that encompasses the both 
EDwsd302:253	S18:	 xxx that 
EDwsd302:254	S18:	 yeah
EDwsd302:255	S15:	 two of them you can also take together a new value if you like if that makes it easier
EDwsd302:256	S18:	 right 
EDwsd302:257	S15:	 but you have to negotiate it 
EDwsd302:258	S18:	 yeah 
EDwsd302:259	S18:	 all right
EDwsd302:260	S15:	 and so you have to agree upon and of course you can also say like okay i really have to have this one in 
EDwsd302:261	S18:	 yeah
EDwsd302:262	S15:	 and then okay you can also pick one you know so you 
EDwsd302:263	S18:	 all right
EDwsd302:264	S20:	 okay
EDwsd302:265	S18:	 all right okay
EDwsd302:266	S15:	 adjust to each other 
EDwsd302:267	S20:	 er 
EDwsd302:268	S18:	 okay for exa- can i just say something i think that if you write down friends friendship
EDwsd302:269	S20:	 yes
EDwsd302:270	S18:	 i can go well that i think that's a great value but i think that somehow love is a kind of friendship 
EDwsd302:271	S20:	 yeah i know we can er tolerance we can er write under x write it's er some erm er what is er mean er 
EDwsd302:272	S18:	 yeah and write 
EDwsd302:273	S20:	 or is er so- yeah in some a s- er 
EDwsd302:274	S18:	 is included 
EDwsd302:275	S20:	 yeah yeah of course included
EDwsd302:276	S18:	 both friendship and love do you think both are included in tolerance
EDwsd302:277	S20:	 friends and lo- yeah i think that we 
EDwsd302:278	S18:	 in tolerance really i think that's something different then again
EDwsd302:279	S15:	 can i have one moment
EDwsd302:280	S20:	 so erm
EDwsd302:281	S18:	 i like the value of friends i have to say 
EDwsd302:282	S15:	 can i have one moment
EDwsd302:283	S18:	 i think that is something er what can i say i think interpersonal interpersonal relationships 
EDwsd302:284	S20:	 ye- yeah i i understand you sorry 
EDwsd302:285	S15:	 can i have one moment for those of you who have finished as a pair try to find another pair 
EDwsd302:286	S17:	 oh 
EDwsd302:287	S15:	 which is also finished and start over again
EDwsd302:288	SS:	 ooph 
EDwsd302:289	S15:	 so you have one list with four people and so on and so on every time you finish as a group try to get together and make a new group
EDwsd302:290	S20:	 so f- f- for the first place tolerance for us
EDwsd302:291	SS:	 yeah
EDwsd302:292	S20:	 second freedom
EDwsd302:293	S18:	 yeah for example security and money i think that adds up you mean i think instead of if you have money you are more secure 
EDwsd302:294	S20:	 if you haven't money you can er you have a security and country town and it's er 
EDwsd302:295	S18:	 you have a secure life don't have to worry about things i think we can somehow add that up under the 
EDwsd302:296	S20:	 yeah yeah 
EDwsd302:297	S20:	 okay okay of course 
EDwsd302:298	S18:	 term of security 
EDwsd302:299	S18:	 is that all right for you
EDwsd302:300	S20:	 yeah you 
EDwsd302:301	S18:	 all right er to come back to the friendship i think that friendship is a nice idea i like that cos i think especially nowadays that's really an important value i think if somebody's able to have friendships to be open for others to be close to each other 
EDwsd302:302	S20:	 oh so we can er include to to open xxx no
EDwsd302:303	S18:	 but i i don't know i think friendship is another thing again it's like the ability to let somebody be close to you to be close to somebody else to share feelings to share thoughts to xxxx thoughts 
EDwsd302:304	S20:	 okay 
EDwsd302:305	S20:	 okay is 
EDwsd302:306	S18:	 i like that a lot
EDwsd302:307	S20:	 okay
EDwsd302:308	S18:	 so we write down friendship or something like 
EDwsd302:309	S20:	 yeah 
EDwsd302:310	S20:	 er maybe er relations 
EDwsd302:311	S18:	 do you mean 
EDwsd302:312	S18:	 relations human relations
EDwsd302:313	S20:	 yeah
EDwsd302:314	S18:	 xx sense of this yeah all right we we know what we mean with that
EDwsd302:315	S20:	 xx live er 
EDwsd302:316	S18:	 or human interpersonal relationships
EDwsd302:317	S20:	 yeah yeah yeah of course 
EDwsd302:318	S18:	 all right
EDwsd302:319	S20:	 personal relations human relations so it's er it's very important to you 
EDwsd302:320	S18:	 yeah yah i agree with you all right so we have four now 
EDwsd302:321	S20:	 we have four and we must er shall i say 
EDwsd302:322	S18:	 for me that's xxx 
EDwsd302:323	S20:	 maybe er knowledge
EDwsd302:324	S18:	 but is that a value
EDwsd302:325	S20:	 er i think that's the democracy is a very important and great xx knowing about er democracy about the same systems er holocaust systems er cultural so 
EDwsd302:326	S18:	 or a passion 
EDwsd302:327	S18:	 yes 
EDwsd302:328	S18:	 and education of course 
EDwsd302:329	S20:	 yeah of course 
EDwsd302:330	S18:	 shall we write xxx 
EDwsd302:331	S20:	 yeah
EDwsd302:332	S18:	 okay and is or what is our order how do we rank them
EDwsd302:333	S20:	 we decide er xxxx first place and maybe we change er some er numbers if you want of course 
EDwsd302:334	S18:	 yeah i don't know what is second to your mind 
EDwsd302:335	S20:	 i think put er freedom and tolerance it's erm it's a very important and er yeah of course 
EDwsd302:336	S18:	 okay 
EDwsd302:337	S18:	 all right security i think is very important as well or what is human relations 
EDwsd302:338	S20:	 yeah but if if we have er freedom and security it's
EDwsd302:339	S18:	 doesn't fit you mean
EDwsd302:340	S20:	 yeah it's erm 
EDwsd302:341	S18:	 i think it most fits because security is you want to be you want to have your freedom but you want to be secure 
EDwsd302:342	S20:	 yeah of course if we er have everything 
EDwsd302:343	S18:	 in your life 
EDwsd302:344	S18:	 but if you if you want we can take interpersonal relations 
EDwsd302:345	S20:	 if we have a freedom we need a security it's er say normal s- so we er we'll be 
EDwsd302:346	S18:	 but if you want we can take interpersonal relationships 
EDwsd302:347	S20:	 i think it will maybe we'll xxx erm human er 
EDwsd302:348	S18:	 interpersonal relations
EDwsd302:349	S20:	 yeah and tolerance 
EDwsd302:350	S18:	 x place 
EDwsd302:351	S20:	 no no it's the same but maybe er first second or er in different er interrelations
EDwsd302:352	S18:	 no 
EDwsd302:353	S18:	 all right then we take that as er second
EDwsd302:354	S20:	 okay oh yeah yah yah 
EDwsd302:355	S18:	 all right
EDwsd302:356	S20:	 exactly
EDwsd302:357	S18:	 forth x 
EDwsd302:358	S17:	 ready
EDwsd302:359	S20:	 no 
EDwsd302:360	S18:	 ju- but in one second
EDwsd302:361	S20:	 just 
EDwsd302:362	S20:	 one minute okay
EDwsd302:363	S18:	 you can already turn around @@
EDwsd302:364	S17:	 @@
EDwsd302:365	S18:	 four five
EDwsd302:366	S20:	 and yeah
EDwsd302:367	S18:	 all right ready 
EDwsd302:368	S20:	 ready 
EDwsd302:369	S17:	 okay er 
EDwsd302:370	SX-f:	 ah 
EDwsd302:371	S20:	 so are you ready
EDwsd302:372	S17:	 do you have to 
EDwsd302:373	S20:	 my paper 
EDwsd302:374	S17:	 you have to join your partner and negotiate the values 
EDwsd302:375	SX-12:	 no it's not true that 
EDwsd302:376	SX-f:	 yes 
EDwsd302:377	S18:	 we have two 
EDwsd302:378	S18:	 i hope you can read it
EDwsd302:379	S20:	 no 
EDwsd302:380	S12:	 okay 
EDwsd302:381	S18:	 do you wanna read out yours 
EDwsd302:382	S12:	 do we 
EDwsd302:383	S18:	 first 
EDwsd302:384	S12:	 yeah 
EDwsd302:385	S17:	 ours are freedom 
EDwsd302:386	S18:	 do you do it in y- in your ranking 
EDwsd302:387	S12:	 but we have 
EDwsd302:388	S17:	 yes 
EDwsd302:389	S18:	 all right 
EDwsd302:390	S12:	 we have to you have to realize something about xxx versus two 
EDwsd302:391	S17:	 no it's not versus it's cooperation our xxx @@@@
EDwsd302:392	S12:	 yeah yeah yeah 
EDwsd302:393	S12:	 but do you like two
EDwsd302:394	S17:	 yeah two and i suppose that after that we have to join other forum 
EDwsd302:395	S18:	 okay
EDwsd302:396	S12:	 xxx 
EDwsd302:397	S18:	 and then in the end we have to have xx for the whole group 
EDwsd302:398	S12:	 @@@
EDwsd302:399	S17:	 @@@
EDwsd302:400	S17:	 it will take quite a long time 
EDwsd302:401	S18:	 yeah
EDwsd302:402	S20:	 xxx 
EDwsd302:403	S17:	 the more 
EDwsd302:404	SX-f:	 yah 
EDwsd302:405	S17:	 freedom equality tolerance cooperation participation democracy 
EDwsd302:406	S20:	 we have er 
EDwsd302:407	S17:	 so you have democracy in the end
EDwsd302:408	S18:	 xx 
EDwsd302:409	S17:	 that's good
EDwsd302:410	S20:	 er tolerance 
EDwsd302:411	S17:	 but tolerance first xxx 
EDwsd302:412	S20:	 and second human interpersonal relation
EDwsd302:413	S18:	 relations that means interpersonal relations friendship stuff like that the ability to be open to people to like to let people be close 
EDwsd302:414	S17:	 do you mean cooperation
EDwsd302:415	S20:	 yeah
EDwsd302:416	S18:	 yes but also i also mean 
EDwsd302:417	S20:	 xx can only cooperation but er 
EDwsd302:418	S12:	 tolerance freedom security
EDwsd302:419	S20:	 personal society cooperation
EDwsd302:420	S18:	 what
EDwsd302:421	S12:	 xx 
EDwsd302:422	S20:	 security
EDwsd302:423	S18:	 three is freedom and security and other xx 
EDwsd302:424	S12:	 human
EDwsd302:425	S18:	 human interpersonal relations it is something like cooperation because it is about the do something together 
EDwsd302:426	SX-20:	 yeah 
EDwsd302:427	S12:	 there is more 
EDwsd302:428	S18:	 the feeling of togetherness as well 
EDwsd302:429	S12:	 okay and security xx 
EDwsd302:430	S17:	 why did you agree that security is a value 
EDwsd302:431	S18:	 why
EDwsd302:432	S17:	 yeah 
EDwsd302:433	S18:	 because erm i think that to lead a erm security is something you need in order to develop other things in order to security is something people aim for or i or we want 
EDwsd302:434	SX-17:	 yeah it's a prerequisite 
EDwsd302:435	S18:	 a prerequisite exactly for having something else
EDwsd302:436	S17:	 but is x a value 
EDwsd302:437	S18:	 i think it's a value 
EDwsd302:438	S20:	 and when i saw xxation in er a country now we we we er stability security very very important value so 
EDwsd302:439	S18:	 if you don't feel secure in your country for example i mean xxxx somehow 
EDwsd302:440	S12:	 it depends 
EDwsd302:441	S20:	 if if we had the some democracy and 
EDwsd302:442	S18:	 yeah 
EDwsd302:443	S20:	 tolerance we need security it's so normal i agree with all people 
EDwsd302:444	S12:	 but you need 
EDwsd302:445	S17:	 we can just now see what are the common things and just 
EDwsd302:446	S12:	 against 
EDwsd302:447	S17:	 and then rank them so we have we have freedom 
EDwsd302:448	S18:	 so we take freedom all right 
EDwsd302:449	S17:	 we have cooperation and human er interrelations so we can er just er 
EDwsd302:450	S18:	 i would 
EDwsd302:451	S17:	 combine them 
EDwsd302:452	S18:	 i think i i i think we incorporate them i think that's all right 
EDwsd302:453	S17:	 yeah me too
EDwsd302:454	S12:	 but do you mean security with weapons or with emotional security or what kind of 
EDwsd302:455	S18:	 no no 
EDwsd302:456	S18:	 emotional i think of emotional security and financial security or the e- economic security if you call it like that 
EDwsd302:457	S20:	 yeah 
EDwsd302:458	S12:	 yeah @@
EDwsd302:459	S20:	 so i i write in money but we include er in a security 
EDwsd302:460	S12:	 but then 
EDwsd302:461	S17:	 okay let's let's agree on let's agree on common values and then we will discuss 
EDwsd302:462	S12:	 okay wh- which are our
EDwsd302:463	S17:	 we have democracy we have freedom 
EDwsd302:464	S20:	 yeah
EDwsd302:465	S17:	 we have er tolerance 
EDwsd302:466	S20:	 yeah 
EDwsd302:467	S18:	 do you have tolerance as well 
EDwsd302:468	S17:	 yes 
EDwsd302:469	S18:	 right 
EDwsd302:470	S20:	 and x 
EDwsd302:471	SX-f:	 this is 
EDwsd302:472	S17:	 x
EDwsd302:473	S20:	 okay
EDwsd302:474	S12:	 yeah there you have er equality 
EDwsd302:475	S17:	 you have you don't have equality
EDwsd302:476	S12:	 they don't have cooperation
EDwsd302:477	SX-20:	 and 
EDwsd302:478	S17:	 ye- they have cooperation i think that human inter- er interpersonal relations is cooperation because 
EDwsd302:479	S12:	 er is is 
EDwsd302:480	S17:	 it th- they do xx in- integrated with interacting with people is incorporated is something together
EDwsd302:481	S18:	 it is like if we take that xx 
EDwsd302:482	S12:	 i mean maybe is more general and that is more 
EDwsd302:483	S18:	 exact- exactly that's what i th- i think if we take cooperation and include that and xx the other things interpersonal and like working together on a more formal level 
EDwsd302:484	S17:	 yeah so we take cooperation as well and now the only thing is equality versus security 
EDwsd302:485	S12:	 ooph xx no way @@@@
EDwsd302:486	S17:	 @@@@
EDwsd302:487	S12:	 okay er i don't understa- er okay i under- i do understand that but i'm 
EDwsd302:488	S18:	 i i i think we 
EDwsd302:489	S12:	 i'm not agreed this kind of security is not a value it's something you need it's like erm a like xx is like er you take a x you need insecurity but it develops some things like 
EDwsd302:490	S17:	 i think that it's very important to x 
EDwsd302:491	S12:	 you also need 
EDwsd302:492	SX-f:	 no 
EDwsd302:493	S18:	 but you and because the xx quite again it's not only xxx to financial security but also as you said like 
EDwsd302:494	S12:	 emotional but is is 
EDwsd302:495	S18:	 emotional security 
EDwsd302:496	S12:	 is
EDwsd302:497	S18:	 and no i think these is this is very important because i mean for me at least it's like i wanna be secure in personal things and also i mean i- if i go out of- on er out on the street i don't i wanna somehow know that i'm not going to be shot er shut down er shot down or something like that it's things like that 
EDwsd302:498	S17:	 yeah i perfectly agree yah i think it's really important
EDwsd302:499	S18:	 this you you want that 
EDwsd302:500	S12:	 yeah but this xxx something you need like you need xx and you need a car like you need 
EDwsd302:501	S17:	 yeah i do agree but 
EDwsd302:502	S18:	 no no no 
